Player,Pos
Jordan Love,QB
AJ Dillon,RB
Romeo Doubs,WR
Christian Watson,WR
Jayden Reed,WR
Tucker Kraft,TE
Elgton Jenkins,OL
Zach Tom,OL
Josh Myers,OL
Rasheed Walker,T
Jon Runyan Jr.,G
Kenny Clark,DL
Devonte Wyatt,DL
Tedarrell Slaton,DL
Preston Smith,LB
Isaiah McDuffie,LB
Quay Walker,LB
Rashan Gary,LB
Carrington Valentine,CB
Corey Ballentine,CB
Jonathan Owens,S
Anthony Johnson,S
