Quarter,Time,Tm,Detail,IND,CIN
1.0,6:31,Bengals,Chase Brown 54 yard pass from Jake Browning (Evan McPherson kick),0,7
2.0,10:18,Bengals,Joe Mixon 1 yard rush (Evan McPherson kick),0,14
,1:56,Colts,Mo Alie-Cox 2 yard pass from Gardner Minshew II (Matt Gay kick failed),6,14
,1:31,Colts,Ronnie Harrison 36 yard interception return (Michael Pittman Jr. pass from Gardner Minshew II),14,14
3.0,11:38,Bengals,Tanner Hudson 11 yard pass from Jake Browning (Evan McPherson kick),14,21
,2:59,Bengals,Jake Browning 1 yard rush (Evan McPherson kick),14,28
4.0,11:14,Bengals,Evan McPherson 32 yard field goal,14,31
,1:55,Bengals,Evan McPherson 35 yard field goal,14,34
