Unnamed: 0,IND,CIN
First Downs,19,19
Rush-Yds-TDs,18-46-0,32-111-2
Cmp-Att-Yd-TD-INT,26-39-240-1-1,19-25-274-2-1
Sacked-Yards,3-14,0-0
Net Pass Yards,226,274
Total Yards,272,385
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,9-66,5-40
Third Down Conv.,3-11,3-11
Fourth Down Conv.,1-2,1-1
Time of Possession,28:08,31:52
