Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Gardner Minshew sacked by Trey Hendrickson for -7 yards,0.610,-0.980
1,14:18,2,17,IND 18,0,0,Gardner Minshew pass complete short right to Josh Downs for 9 yards (tackle by Logan Wilson),-0.980,-0.360
1,13:35,3,8,IND 27,0,0,Gardner Minshew pass incomplete short right intended for Andrew Ogletree,-0.360,-1.570
1,13:29,4,8,IND 27,0,0,"Rigoberto Sanchez punts 55 yards, returned by Charlie Jones for 1 yard (tackle by Ameer Speed)",-1.570,-0.150
1,13:19,1,10,CIN 19,0,0,Joe Mixon right guard for 4 yards (tackle by DeForest Buckner and Ronnie Harrison),0.150,0.210
1,12:45,2,6,CIN 23,0,0,Jake Browning pass complete short right to Joe Mixon for 4 yards (tackle by Kenny Moore),0.210,-0.030
1,12:04,3,2,CIN 27,0,0,Joe Mixon up the middle for 1 yard (tackle by DeForest Buckner and Zaire Franklin),-0.030,-1.500
1,11:32,4,1,CIN 28,0,0,Brad Robbins punts 52 yards downed by Akeem Davis-Gaither,-1.500,-0.280
1,11:18,1,10,IND 20,0,0,Gardner Minshew pass complete short right to Michael Pittman for 5 yards (tackle by Chidobe Awuzie),0.280,0.410
1,10:39,2,5,IND 25,0,0,Gardner Minshew pass complete short middle to Michael Pittman for 12 yards (tackle by Jordan Battle),0.410,1.400
1,10:13,1,10,IND 37,0,0,Zack Moss right end for -3 yards (tackle by Chidobe Awuzie and Myles Murphy),1.400,0.450
1,9:36,2,13,IND 34,0,0,Gardner Minshew pass complete short middle to Josh Downs for 11 yards (tackle by Daxton Hill),0.450,1.220
1,8:54,3,2,IND 45,0,0,Gardner Minshew pass incomplete short left intended for Kylen Granson,1.220,-0.390
1,8:49,4,2,IND 45,0,0,"Rigoberto Sanchez punts 47 yards, fair catch by Charlie Jones at CIN-8",-0.390,0.380
1,8:42,1,10,CIN 8,0,0,Jake Browning pass complete short middle to Tyler Boyd for 17 yards (tackle by Darrell Baker),-0.380,0.610
1,8:00,1,10,CIN 25,0,0,Joe Mixon right guard for 7 yards (tackle by Julian Blackmon),0.610,1.010
1,7:17,2,3,CIN 32,0,0,Jake Browning pass complete short middle to Ja'Marr Chase for 14 yards (tackle by Jaylon Jones),1.010,1.990
1,6:42,1,10,CIN 46,0,6,"Jake Browning pass complete short right to Chase Brown for 54 yards, touchdown",1.990,7.000
1,6:31,,,IND 15,0,7,Evan McPherson kicks extra point good,0.000,0.000
1,6:31,,,CIN 35,0,7,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,6:31,1,10,IND 25,0,7,Gardner Minshew pass complete short right to Michael Pittman for 13 yards (tackle by Daxton Hill and Logan Wilson),0.610,1.470
1,5:51,1,10,IND 38,0,7,Gardner Minshew pass complete short left to Will Mallory for 11 yards (tackle by Daxton Hill and Germaine Pratt),1.470,2.190
1,5:26,1,10,IND 49,0,7,Zack Moss right tackle for 12 yards (tackle by Daxton Hill and Germaine Pratt),2.190,2.980
1,5:02,1,10,CIN 39,0,7,Gardner Minshew sacked by and Cameron Sample for no gain and Germaine Pratt for no gain,2.980,2.440
1,4:20,2,10,CIN 39,0,7,Gardner Minshew pass complete short left to Alec Pierce for 10 yards (tackle by DJ Turner),2.440,3.640
1,3:56,1,10,CIN 29,0,7,"Zack Moss for no gain. Penalty on Myles Murphy: Defensive Offside, 5 yards (accepted) (no play)",3.640,4.370
1,3:35,1,5,CIN 24,0,7,Gardner Minshew pass complete short left to Michael Pittman for 6 yards (tackle by Germaine Pratt),4.370,4.370
1,2:57,1,10,CIN 18,0,7,Zack Moss left tackle for -1 yards (tackle by Germaine Pratt and Sam Hubbard),4.370,3.670
1,2:22,2,11,CIN 19,0,7,"Penalty on Bernhard Raimann: False Start, 5 yards (accepted) (no play)",3.670,3.020
1,2:04,2,16,CIN 24,0,7,Gardner Minshew pass incomplete deep right intended for Kylen Granson (defended by Logan Wilson),3.020,2.340
1,1:59,3,16,CIN 24,0,7,Gardner Minshew pass complete short left to Zack Moss for 4 yards (tackle by Akeem Davis-Gaither and Germaine Pratt),2.340,2.120
1,1:19,4,12,CIN 20,0,7,Matt Gay 38 yard field goal no good,2.120,-0.810
1,1:15,1,10,CIN 28,0,7,Joe Mixon right guard for 3 yards (tackle by Ronnie Harrison),0.810,0.670
1,0:38,2,7,CIN 31,0,7,Chase Brown right guard for 5 yards (tackle by Kwity Paye and DeForest Buckner),0.670,0.630
Quarter,Time,Down,ToGo,Location,IND,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,CIN 36,0,7,Jake Browning pass complete short right to Drew Sample for 3 yards (tackle by Zaire Franklin and Jaylon Jones),0.630,1.530
2,14:21,1,10,CIN 39,0,7,Jake Browning pass complete short right to Joe Mixon for 45 yards (tackle by Rodney Thomas),1.530,4.510
2,13:35,1,10,IND 16,0,7,Jake Browning pass incomplete deep left intended for Ja'Marr Chase (defended by Darrell Baker),4.510,3.900
2,13:28,2,10,IND 16,0,7,Jake Browning pass incomplete short left intended for Tyler Boyd (defended by DeForest Buckner),3.900,3.080
2,13:24,3,10,IND 16,0,7,Jake Browning pass complete short right to Drew Sample for 1 yard (tackle by Jaylon Jones),3.080,2.440
2,12:39,4,9,IND 15,0,7,"Evan McPherson yard field goal good. Penalty on Taven Bryan: Unsportsmanlike Conduct / Defense, 8 yards (accepted) (no play)",2.440,5.600
2,12:35,1,7,IND 7,0,7,Joe Mixon right guard for 2 yards (tackle by Julian Blackmon),5.600,5.150
2,11:44,2,5,IND 5,0,7,"Jake Browning sacked by. Penalty on Jaylon Jones: Defensive Holding, 3 yards (accepted) (no play)",5.150,6.740
2,11:26,1,2,IND 2,0,7,Joe Mixon up the middle for 1 yard (tackle by Julian Blackmon and Zaire Franklin),6.740,5.910
2,11:06,,,,,,Timeout #1 by Indianapolis Colts,,
2,11:06,2,1,IND 1,0,7,Joe Mixon for no gain (tackle by Samson Ebukam and DeForest Buckner),5.910,5.170
2,10:22,3,1,IND 1,0,13,"Joe Mixon left guard for 1 yard, touchdown",5.170,7.000
2,10:18,,,IND 15,0,14,Evan McPherson kicks extra point good,0.000,0.000
2,10:18,,,CIN 35,0,14,"Evan McPherson kicks off 61 yards, returned by Isaiah McKenzie for 17 yards (tackle by Chase Brown and Markus Bailey)",0.000,0.340
2,10:14,1,10,IND 21,0,14,Zack Moss left guard for 1 yard (tackle by B.J. Hill),0.340,-0.070
2,9:36,2,9,IND 22,0,14,"Penalty on Will Fries: False Start, 5 yards (accepted) (no play)",-0.070,-0.860
2,9:26,2,14,IND 17,0,14,Gardner Minshew pass incomplete short left intended for Zack Moss,-0.860,-1.590
2,9:21,3,14,IND 17,0,14,Gardner Minshew pass complete short right to Kylen Granson for 9 yards (tackle by Chidobe Awuzie and Germaine Pratt),-1.590,-1.630
