Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dave Rayner kicks off 73 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,Philip Rivers pass complete deep left to Antonio Gates for 17 yards (tackle by Bryan Scott),0.280,1.400
1,14:31,1,10,SDG 37,0,0,Ryan Mathews up the middle for 4 yards (tackle by Kelvin Sheppard),1.400,1.400
1,13:53,2,6,SDG 41,0,0,Philip Rivers pass complete short left to Ryan Mathews for 6 yards (tackle by Bryan Scott),1.400,2.060
1,13:24,1,10,SDG 47,0,0,Ryan Mathews up the middle for 3 yards (tackle by Nick Barnett and Kellen Heard),2.060,1.920
1,12:41,2,7,,0,0,Philip Rivers pass complete short left to Antonio Gates for 12 yards (tackle by Kelvin Sheppard),1.920,3.050
1,11:58,1,10,BUF 38,0,0,Philip Rivers sacked by Marcell Dareus for -8 yards,3.050,1.430
1,11:22,,,,0,0,Timeout #1 by San Diego Chargers,0.000,1.430
1,11:22,2,18,BUF 46,0,0,Philip Rivers pass complete short right to Malcom Floyd for 14 yards (tackle by Kelvin Sheppard),1.430,2.610
1,10:44,3,4,BUF 32,0,0,Philip Rivers pass complete short middle to Patrick Crayton for 5 yards (tackle by Bryan Scott and Nick Barnett),2.610,3.780
1,10:03,1,10,BUF 27,0,0,Ryan Mathews up the middle for 2 yards (tackle by Kelvin Sheppard and Chris Kelsay),3.780,3.500
1,9:21,2,8,BUF 25,0,0,Ryan Mathews left end for 10 yards (tackle by Nick Barnett),3.500,4.580
1,8:47,1,10,BUF 15,0,0,"Philip Rivers pass incomplete short left intended for Antonio Gates. Penalty on Bryan Scott: Defensive Holding, 5 yards (no play)",4.580,4.910
1,8:40,1,10,BUF 10,0,0,Ryan Mathews right guard for 1 yard (tackle by Chris Kelsay),4.910,4.380
1,7:57,2,9,BUF 9,0,6,"Philip Rivers pass complete short middle to Antonio Gates for 9 yards, touchdown",4.380,7.000
1,,,,BUF 2,0,7,Nick Novak kicks extra point good,0.000,0.000
1,,,,SDG 35,0,7,"Nick Novak kicks off 66 yards, returned by Justin Rogers for 33 yards (tackle by Mike Tolbert)",0.000,1.070
1,7:46,1,10,BUF 32,0,7,C.J. Spiller up the middle for 2 yards (tackle by Antonio Garay and Eric Weddle),1.070,0.800
1,7:09,2,8,BUF 34,0,7,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson (defended by Corey Liuget),0.800,0.100
1,7:06,3,8,BUF 34,0,7,Ryan Fitzpatrick pass complete short left to Steve Johnson for 11 yards (tackle by Takeo Spikes),0.100,1.930
1,6:32,1,10,BUF 45,0,7,C.J. Spiller right end for 8 yards (tackle by Quentin Jammer and Donald Butler),1.930,2.460
1,5:49,2,2,SDG 47,0,7,C.J. Spiller left tackle for no gain (tackle by Shaun Phillips),2.460,1.750
1,5:05,3,2,SDG 47,0,7,Ryan Fitzpatrick pass incomplete deep middle intended for David Nelson is intercepted by Eric Weddle at SDG-19 and returned for 26 yards (tackle by Chad Rinehart),1.750,-1.930
1,4:49,1,10,SDG 45,0,7,Ryan Mathews for 7 yards (tackle by Nick Barnett and Jairus Byrd),1.930,2.330
1,4:19,2,3,BUF 48,0,7,Ryan Mathews left tackle for 2 yards (tackle by Dwan Edwards and Nick Barnett),2.330,1.880
1,3:39,3,1,BUF 46,0,7,Ryan Mathews for 16 yards (tackle by Spencer Johnson),1.880,3.580
1,2:59,1,10,BUF 30,0,7,Philip Rivers pass complete short right to Antonio Gates for 7 yards (tackle by Kelvin Sheppard),3.580,3.980
1,2:18,2,3,BUF 23,0,7,Ryan Mathews right tackle for 2 yards (tackle by Chris Kelsay),3.980,3.530
1,1:36,3,1,BUF 21,0,7,Ryan Mathews right tackle for 4 yards (tackle by Alex Carrington and Kelvin Sheppard),3.530,4.440
1,0:52,1,10,BUF 17,0,7,Mike Tolbert left guard for 2 yards (tackle by Kelvin Sheppard),4.440,4.150
1,0:12,2,8,BUF 15,0,7,Philip Rivers pass complete short middle to Antonio Gates for 13 yards (tackle by Nick Barnett and Kelvin Sheppard),4.150,6.740
Quarter,Time,Down,ToGo,Location,BUF,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,2,BUF 2,0,7,Mike Tolbert up the middle for 1 yard (tackle by Kellen Heard and Chris Kelsay),6.740,5.910
2,14:20,2,1,BUF 1,0,13,"Mike Tolbert right tackle for 1 yard, touchdown",5.910,7.000
2,,,,BUF 2,0,13,Nick Novak kicks extra point no good,0.000,-1.000
2,,,,SDG 35,0,13,"Nick Novak kicks off 72 yards, touchback",0.000,0.280
2,14:16,1,10,BUF 20,0,13,Ryan Fitzpatrick pass incomplete short right intended for Brad Smith,0.280,-0.270
2,14:12,2,10,BUF 20,0,13,C.J. Spiller left guard for 5 yards (tackle by Steve Gregory),-0.270,-0.300
2,13:34,3,5,BUF 25,0,13,"Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson. Penalty on Antwan Barnes: Defensive Offside, 5 yards (no play)",-0.300,0.940
2,13:29,1,10,BUF 30,0,13,C.J. Spiller left end for 1 yard (tackle by Steve Gregory),0.940,0.530
2,12:49,2,9,BUF 31,0,13,Ryan Fitzpatrick pass complete short middle to David Nelson for 10 yards (tackle by Dante Hughes),0.530,1.660
2,12:12,1,10,BUF 41,0,13,Ryan Fitzpatrick pass incomplete deep right intended for Brad Smith,1.660,1.120
2,12:05,2,10,BUF 41,0,13,C.J. Spiller up the middle for 6 yards (tackle by Na'il Diggs and Takeo Spikes),1.120,1.220
2,11:21,3,4,BUF 47,0,13,Ryan Fitzpatrick up the middle for 18 yards (tackle by Steve Gregory and Takeo Spikes),1.220,3.250
2,10:39,1,10,SDG 35,0,13,C.J. Spiller left end for -8 yards (tackle by Corey Liuget). Penalty on Lee Smith: Offensive Holding (Declined),3.250,1.620
2,10:07,2,18,SDG 43,0,13,Ryan Fitzpatrick pass complete short middle to Tashard Choice for 2 yards (tackle by Travis LaBoy),1.620,1.220
2,9:26,3,16,SDG 41,0,13,Ryan Fitzpatrick pass incomplete short middle intended for David Nelson,1.220,0.530
2,9:21,4,16,SDG 41,0,13,Brian Moorman punts 16 yards,0.530,-0.610
2,9:10,1,10,SDG 25,0,13,Philip Rivers pass complete short middle to Ryan Mathews for 3 yards (tackle by Kelvin Sheppard),0.610,0.470
2,8:27,2,7,SDG 28,0,13,Ryan Mathews right tackle for 37 yards (tackle by Jairus Byrd and Leodis McKelvin),0.470,3.250
2,7:39,1,10,BUF 35,0,13,Philip Rivers pass incomplete deep left intended for Vincent Jackson (defended by Drayton Florence),3.250,2.700
2,7:32,2,10,BUF 35,0,13,Ryan Mathews up the middle for 6 yards (tackle by Dwan Edwards),2.700,2.810
2,6:50,3,4,BUF 29,0,13,Philip Rivers pass incomplete short middle intended for Vincent Jackson (defended by Justin Rogers),2.810,1.560
2,6:46,4,4,BUF 29,0,16,Nick Novak 47 yard field goal good,1.560,3.000
2,,,,SDG 35,0,16,"Nick Novak kicks off 70 yards, touchback",0.000,0.280
2,6:41,1,10,BUF 20,0,16,Ryan Fitzpatrick pass complete short middle to C.J. Spiller for -1 yards (tackle by Takeo Spikes),0.280,-0.460
2,6:01,2,11,BUF 19,0,16,Ryan Fitzpatrick pass complete short middle to David Nelson for 10 yards (tackle by Dante Hughes),-0.460,0.230
2,5:23,3,1,BUF 29,0,16,Ryan Fitzpatrick up the middle for 2 yards (tackle by Vaughn Martin and Antonio Garay),0.230,1.000
2,4:41,1,10,BUF 31,0,16,Ryan Fitzpatrick pass complete deep left to Steve Johnson for 34 yards (tackle by Antoine Cason),1.000,3.250
2,4:10,1,10,SDG 35,0,16,Ryan Fitzpatrick pass incomplete short right intended for Brad Smith (defended by Antoine Cason),3.250,2.700
2,4:04,2,10,SDG 35,0,16,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,2.700,2.010
2,4:00,3,10,SDG 35,0,16,Ryan Fitzpatrick pass incomplete short middle intended for Tashard Choice,2.010,0.970
2,3:52,,,,0,16,Timeout #1 by Buffalo Bills,0.000,0.970
