Quarter,Time,Down,ToGo,Location,NYJ,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DEN 25,0,0,Trevor Siemian pass incomplete deep right intended for Emmanuel Sanders,0.610,0.060
1,14:54,2,10,DEN 25,0,0,C.J. Anderson middle for 4 yards (tackle by Steve McLendon),0.060,-0.100
1,14:18,3,6,DEN 29,0,0,"Penalty on Muhammad Wilkerson: Neutral Zone Infraction, 5 yards (no play)",-0.100,0.560
1,14:06,3,1,DEN 34,0,0,C.J. Anderson right tackle for 3 yards (tackle by Darron Lee),0.560,1.400
1,13:30,1,10,DEN 37,0,0,C.J. Anderson right guard for 1 yard (tackle by Marcus Maye),1.400,0.990
1,12:56,2,9,DEN 38,0,0,Trevor Siemian pass complete short left to Demaryius Thomas for 13 yards (tackle by Demario Davis),0.990,2.320
1,12:30,1,10,NYJ 49,0,0,Devontae Booker right guard for 4 yards (tackle by Demario Davis),2.320,2.320
1,11:55,2,6,NYJ 45,0,0,Devontae Booker middle for no gain (tackle by Jamal Adams),2.320,1.620
1,11:15,3,6,NYJ 45,0,0,Trevor Siemian pass complete deep left to Cody Latimer for 27 yards (tackle by Darryl Roberts),1.620,4.370
1,10:31,1,10,NYJ 18,0,0,Trevor Siemian pass complete short left to Jamaal Charles for 3 yards (tackle by Marcus Maye),4.370,4.250
1,9:54,2,7,NYJ 15,0,0,Trevor Siemian pass complete short left to Jamaal Charles for 2 yards (tackle by Demario Davis and Leonard Williams),4.250,3.820
1,9:10,3,5,NYJ 13,0,0,Trevor Siemian pass incomplete short left intended for Demaryius Thomas,3.820,2.620
1,9:05,4,5,NYJ 13,0,3,Brandon McManus 31 yard field goal good,2.620,3.000
1,9:02,,,DEN 35,0,3,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,9:02,1,10,NYJ 25,0,3,Elijah McGuire right end for -3 yards (tackle by Brandon Marshall),0.610,-0.340
1,8:19,2,13,NYJ 22,0,3,Bilal Powell left end for 2 yards (tackle by Adam Gotsis),-0.340,-0.760
1,7:35,3,11,NYJ 24,0,3,"Josh McCown sacked by Brandon Marshall for -9 yards. Josh McCown fumbles (forced by Brandon Marshall), recovered by Adam Gotsis at NYJ-20 (tackle by Kelvin Beachum)",-0.760,-4.240
1,7:28,1,10,NYJ 20,0,3,Trevor Siemian pass incomplete deep middle intended for Emmanuel Sanders,4.240,3.690
1,7:22,2,10,NYJ 20,0,9,"Trevor Siemian pass complete deep right to Demaryius Thomas for 20 yards, touchdown. Penalty on Morris Claiborne: Defensive Pass Interference (Declined)",3.690,7.000
1,7:16,,,NYJ 15,0,10,Brandon McManus kicks extra point good,0.000,0.000
1,7:16,,,DEN 35,0,10,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,7:16,1,10,NYJ 25,0,10,Josh McCown sacked by Shelby Harris for -8 yards,0.610,-1.150
1,6:34,2,18,NYJ 17,0,10,Bilal Powell for -1 yards (tackle by Brandon Marshall),-1.150,-2.140
1,6:00,3,19,NYJ 16,0,10,Josh McCown pass incomplete short middle intended for Austin Seferian-Jenkins,-2.140,-2.390
1,5:56,4,19,NYJ 16,0,10,"Lac Edwards punts 47 yards, returned by Jordan Taylor for 12 yards (tackle by Juston Burris)",-2.390,-2.190
1,5:45,1,10,DEN 49,0,10,Trevor Siemian pass incomplete,2.190,1.650
1,5:39,2,10,DEN 49,0,10,C.J. Anderson right tackle for 2 yards (tackle by Darron Lee),1.650,1.220
1,5:02,3,8,NYJ 49,0,10,Trevor Siemian pass complete short left to Demaryius Thomas for 15 yards (tackle by Morris Claiborne),1.220,3.310
1,4:29,1,10,NYJ 34,0,10,C.J. Anderson right tackle for 2 yards (tackle by Leonard Williams),3.310,3.040
1,3:48,2,8,NYJ 32,0,10,Devontae Booker left guard for 5 yards (tackle by Jamal Adams),3.040,3.010
1,3:07,3,3,NYJ 27,0,10,"Penalty on Garett Bolles: False Start, 5 yards (no play)",3.010,2.350
1,2:49,3,8,NYJ 32,0,10,Trevor Siemian for 9 yards,2.350,4.040
1,2:20,1,10,NYJ 23,0,10,C.J. Anderson right tackle for no gain (tackle by Mike Pennel),4.040,3.500
1,1:36,2,10,NYJ 23,0,10,"Trevor Siemian pass complete short right to C.J. Anderson for -4 yards (tackle by David Bass). Penalty on Mike Pennel: Illegal Use of Hands, 5 yards (no play)",3.500,4.370
1,1:10,1,10,NYJ 18,0,10,Trevor Siemian pass incomplete short left intended for Emmanuel Sanders,4.370,3.800
1,1:05,2,10,NYJ 18,0,10,C.J. Anderson middle for 4 yards (tackle by David Bass and Muhammad Wilkerson),3.800,3.630
1,0:27,3,6,NYJ 14,0,10,Trevor Siemian pass complete short left to Demaryius Thomas for 3 yards (tackle by Marcus Maye),3.630,2.800
Quarter,Time,Down,ToGo,Location,NYJ,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,3,NYJ 11,0,10,Brandon McManus 29 yard field goal no good,2.800,-0.280
2,14:57,1,10,NYJ 20,0,10,Bilal Powell right tackle for 2 yards (tackle by Adam Gotsis),0.280,0.000
2,14:18,2,8,NYJ 22,0,10,Josh McCown pass complete short right to Robby Anderson for 13 yards (tackle by Will Parks),0.000,1.270
2,13:45,1,10,NYJ 35,0,10,Josh McCown pass incomplete short middle intended for ArDarius Stewart (defended by Shelby Harris),1.270,0.720
