Quarter,Time,Down,ToGo,Location,DEN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 57 yards, returned by Richard Quinn for 19 yards (tackle by Akeem Jordan)",0.000,1.070
1,14:55,1,10,DEN 32,0,0,Correll Buckhalter left end for no gain (tackle by Brodrick Bunkley),1.070,0.530
1,14:22,2,10,DEN 32,0,0,Kyle Orton pass incomplete short right intended for Jabar Gaffney,0.530,-0.160
1,14:18,,,,0,0,Timeout #1 by Philadelphia Eagles,0.000,-0.160
1,14:18,3,10,DEN 32,0,0,Kyle Orton pass incomplete short right intended for Daniel Graham,-0.160,-1.240
,,,,,,,"DEN challenged the backward pass ruling, and the original play was overturned.",,
1,14:15,4,10,DEN 32,0,0,Mitch Berger punts 32 yards,-1.240,-1.330
1,14:05,1,10,PHI 36,0,0,Donovan McNabb pass incomplete deep left intended for DeSean Jackson,1.330,0.790
1,14:00,2,10,PHI 36,0,0,Leonard Weaver middle for 3 yards (tackle by Ryan McBean),0.790,0.500
1,13:18,3,7,PHI 39,0,0,"Donovan McNabb sacked by D.J. Williams for -9 yards. Penalty on Brian Dawkins: Illegal Contact, 5 yards (no play)",0.500,1.860
1,13:02,1,10,PHI 44,0,0,LeSean McCoy left end for 8 yards (tackle by Andra Davis),1.860,2.400
1,12:23,2,2,DEN 48,0,0,Brian Westbrook right tackle for 4 yards (tackle by Robert Ayers),2.400,2.650
1,11:37,1,10,DEN 44,0,0,Donovan McNabb pass complete short left to DeSean Jackson for 11 yards (tackle by Champ Bailey),2.650,3.380
1,11:12,1,10,DEN 33,0,0,Leonard Weaver middle for 2 yards (tackle by Ronald Fields),3.380,3.110
1,10:36,2,8,DEN 31,0,0,Brian Westbrook right end for 9 yards (tackle by Brian Dawkins),3.110,4.110
1,10:12,1,10,DEN 22,0,0,Donovan McNabb pass incomplete deep left intended for Brian Westbrook,4.110,3.560
1,10:07,2,10,DEN 22,0,0,Leonard Weaver left tackle for 3 yards (tackle by D.J. Williams),3.560,3.260
1,9:20,3,7,DEN 19,0,0,"Donovan McNabb sacked by Elvis Dumervil for -9 yards. Donovan McNabb fumbles (forced by Elvis Dumervil), recovered by Darrell Reid at DEN-32 (tackle by Jason Peters)",3.260,-1.070
1,9:13,1,10,DEN 32,0,0,Kyle Orton pass complete short left to Daniel Graham for 4 yards (tackle by Akeem Jordan),1.070,1.070
1,8:34,2,6,DEN 36,0,0,Knowshon Moreno left end for 2 yards (tackle by Moise Fokou),1.070,0.630
1,7:53,3,4,DEN 38,0,0,Kyle Orton sacked by Juqua Parker for -5 yards,0.630,-1.180
1,7:24,4,9,DEN 33,0,0,Mitch Berger punts 28 yards,-1.180,-1.530
1,7:17,1,10,PHI 39,0,0,Donovan McNabb pass complete short right to LeSean McCoy for 39 yards (tackle by Robert Ayers),1.530,4.110
1,6:23,1,10,DEN 22,0,0,Donovan McNabb pass complete short right to DeSean Jackson for 11 yards (tackle by Mario Haggan),4.110,4.840
1,5:40,1,10,DEN 11,0,0,Donovan McNabb pass incomplete short middle intended for Brent Celek,4.840,4.140
1,5:36,2,10,DEN 11,0,0,"Donovan McNabb pass complete short right to Jason Avant for 6 yards (tackle by Renaldo Hill). Penalty on Tony Carter: Defensive Pass Interfere, 4 yards (no play)",4.140,5.600
1,5:31,1,7,DEN 7,0,0,Leonard Weaver right tackle for 2 yards (tackle by D.J. Williams),5.600,5.150
1,4:52,2,5,DEN 5,0,0,Brian Westbrook middle for 3 yards (tackle by Mario Haggan and Brian Dawkins),5.150,4.950
1,4:11,3,2,DEN 2,0,6,"Donovan McNabb pass complete short middle to DeSean Jackson for 2 yards, touchdown. Penalty on Wesley Woodyard: Defensive Holding (Declined)",4.950,7.000
1,,,,DEN 2,0,7,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,7,"David Akers kicks off 70 yards, returned by Kenny McKinley for 22 yards (tackle by Tracy White)",0.000,-0.410
1,4:02,1,10,DEN 22,0,7,Kyle Orton pass complete short left to Brandon Marshall for 3 yards (tackle by Sheldon Brown),0.410,0.270
1,3:24,2,7,DEN 25,0,7,Correll Buckhalter middle for 5 yards (tackle by Moise Fokou),0.270,0.230
1,2:47,3,2,DEN 30,0,7,"Kyle Orton pass incomplete short middle intended for Brandon Stokley. Penalty on Brandon Stokley: Disqualification, 15 yards",0.230,-2.440
1,2:43,4,17,DEN 15,0,7,"Mitch Berger punts 45 yards, returned by DeSean Jackson for no gain",-2.440,-1.600
1,2:34,1,10,PHI 40,0,7,"Penalty on Jason Peters: False Start, 5 yards (no play)",1.600,1.270
1,2:34,1,15,PHI 35,0,7,Donovan McNabb pass complete short left to Jeremy Maclin for 7 yards,1.270,1.320
1,2:21,2,8,PHI 42,0,7,Donovan McNabb pass complete deep left to Brent Celek for 31 yards (tackle by Mario Haggan),1.320,3.780
1,1:34,,,,0,7,Timeout #2 by Philadelphia Eagles,0.000,3.780
1,1:34,1,10,DEN 27,0,7,Donovan McNabb pass complete short right to DeSean Jackson for 9 yards (tackle by Champ Bailey),3.780,4.530
1,1:10,2,1,DEN 18,0,7,Brian Westbrook middle for no gain (tackle by Mario Haggan),4.530,3.840
1,0:28,3,1,DEN 18,0,7,DeSean Jackson left end for -3 yards (tackle by D.J. Williams),3.840,2.130
1,0:00,4,4,DEN 21,0,10,David Akers 39 yard field goal good,2.130,3.000
Quarter,Time,Down,ToGo,Location,DEN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,PHI 30,0,10,"David Akers kicks off 62 yards, returned by Correll Buckhalter for 22 yards (tackle by Joe Mays)",0.000,-0.940
2,14:55,1,10,DEN 30,0,10,Kyle Orton pass incomplete short right intended for Brandon Marshall,0.940,0.390
2,14:50,2,10,DEN 30,0,10,Kyle Orton pass complete short left to Correll Buckhalter for 7 yards (tackle by Victor Harris),0.390,0.630
2,14:22,3,3,DEN 37,0,10,Kyle Orton pass complete short middle to Brandon Lloyd for 15 yards (tackle by Victor Harris),0.630,2.390
2,13:48,1,10,PHI 48,0,10,Knowshon Moreno right end for 6 yards,2.390,2.660
2,13:10,2,4,PHI 42,0,10,Kyle Orton pass complete deep right to Jabar Gaffney for 17 yards (tackle by Asante Samuel),2.660,3.910
2,12:26,1,10,PHI 25,0,10,Knowshon Moreno right tackle for no gain (tackle by Mike Patterson and Moise Fokou),3.910,3.360
2,11:48,2,10,PHI 25,0,10,Kyle Orton pass complete short left to Brandon Marshall for 9 yards (tackle by Victor Harris and Quintin Mikell),3.360,4.060
2,11:07,3,1,PHI 16,0,10,Peyton Hillis middle for no gain (tackle by Will Witherspoon and Jeremiah Trotter),4.060,2.530
2,10:47,4,1,PHI 16,0,10,Knowshon Moreno right end for 2 yards (tackle by Mike Patterson),2.530,4.650
2,10:10,1,10,PHI 14,0,10,Kyle Orton pass incomplete short middle intended for Tony Scheffler (defended by Quintin Mikell),4.650,4.000
2,10:05,2,10,PHI 14,0,10,Kyle Orton pass complete short right to Brandon Marshall for 3 yards (tackle by Quintin Mikell),4.000,3.620
2,9:25,3,7,PHI 11,6,10,"Kyle Orton pass complete short left to Jabar Gaffney for 11 yards, touchdown",3.620,7.000
2,,,,PHI 2,7,10,Matt Prater kicks extra point good,0.000,0.000
2,,,,DEN 30,7,10,"Matt Prater kicks off 73 yards, returned by Victor Harris for 15 yards (tackle by Alphonso Smith)",0.000,-0.350
2,9:12,1,10,PHI 12,7,10,Donovan McNabb pass complete short right to Brent Celek for 34 yards (tackle by Champ Bailey),-0.350,1.990
2,8:46,1,10,PHI 46,7,10,Brian Westbrook right end for 7 yards (tackle by Brian Dawkins),1.990,2.400
2,8:04,2,3,DEN 47,7,10,Donovan McNabb pass incomplete short left intended for DeSean Jackson (defended by Darrell Reid),2.400,1.690
2,8:00,3,3,DEN 47,7,16,"Donovan McNabb pass complete deep right to Brent Celek for 47 yards, touchdown",1.690,7.000
2,,,,DEN 2,7,17,David Akers kicks extra point good,0.000,0.000
2,,,,PHI 30,7,17,"David Akers kicks off 65 yards, returned by Correll Buckhalter for 25 yards (tackle by Akeem Jordan)",0.000,-0.940
2,7:45,1,10,DEN 30,7,17,Kyle Orton pass incomplete short left intended for Brandon Marshall,0.940,0.390
2,7:40,2,10,DEN 30,7,17,Brandon Marshall left end for 7 yards (tackle by Quintin Mikell),0.390,0.630
2,7:12,3,3,DEN 37,7,17,Kyle Orton pass incomplete short middle intended for Brandon Marshall,0.630,-0.910
2,7:07,4,3,DEN 37,7,17,Mitch Berger punts 46 yards,-0.910,-0.540
2,6:59,1,10,PHI 24,7,17,LeSean McCoy right end for no gain (tackle by Andra Davis),0.540,0.000
2,6:17,2,10,PHI 24,7,17,Donovan McNabb pass complete short right to Brent Celek for 9 yards (tackle by Brian Dawkins),0.000,0.500
2,6:06,3,1,PHI 33,7,17,Donovan McNabb middle for 2 yards (tackle by D.J. Williams),0.500,1.270
2,5:38,1,10,PHI 35,7,17,LeSean McCoy middle for 2 yards (tackle by Ryan McBean),1.270,0.990
2,4:51,2,8,PHI 37,7,17,"Penalty on Winston Justice: False Start, 5 yards (no play)",0.990,0.320
2,4:28,2,13,PHI 32,7,17,Donovan McNabb pass complete short middle to Jeremy Maclin for 21 yards (tackle by Andra Davis),0.320,2.460
2,3:44,1,10,DEN 47,7,17,Donovan McNabb pass complete short left to Jeremy Maclin for 6 yards (tackle by D.J. Williams),2.460,2.720
2,3:05,2,4,DEN 41,7,17,Leonard Weaver for 5 yards,2.720,3.180
2,2:35,1,10,DEN 36,7,17,Donovan McNabb pass complete short left to Jason Avant for 10 yards (tackle by Renaldo Hill),3.180,3.840
2,2:00,1,10,DEN 26,7,17,Donovan McNabb pass complete short right to Brian Westbrook for -1 yards (tackle by Ryan McBean),3.840,3.160
2,1:17,2,11,DEN 27,7,17,Donovan McNabb pass complete short left to Brian Westbrook for 6 yards (tackle by Brian Dawkins),3.160,3.270
2,0:36,3,5,DEN 21,7,17,"Donovan McNabb for no gain. Donovan McNabb fumbles, recovered by Donovan McNabb at DEN-27",3.270,1.670
2,0:29,,,,7,17,Timeout #1 by Denver Broncos,0.000,1.670
2,0:29,4,11,DEN 27,7,20,David Akers 45 yard field goal good,1.670,3.000
2,,,,PHI 30,7,20,"David Akers kicks off 61 yards, returned by Correll Buckhalter for 16 yards (tackle by Joe Mays)",0.000,-0.610
