Unnamed: 0,DEN,PHI
First Downs,13,22
Rush-Yds-TDs,18-70-0,28-105-0
Cmp-Att-Yd-TD-INT,27-41-189-3-1,20-35-322-3-1
Sacked-Yards,3-18,4-33
Net Pass Yards,171,289
Total Yards,241,394
Fumbles-Lost,0-0,5-2
Turnovers,1,3
Penalties-Yards,9-95,9-59
Third Down Conv.,5-15,4-13
Fourth Down Conv.,1-1,0-0
Time of Possession,29:17,30:43
