Unnamed: 0,DET,NOR
First Downs,14,19
Rush-Yds-TDs,24-71-0,25-47-0
Cmp-Att-Yd-TD-INT,17-30-210-0-1,21-38-233-0-0
Sacked-Yards,1-2,1-7
Net Pass Yards,208,226
Total Yards,279,273
Fumbles-Lost,0-0,2-1
Turnovers,1,1
Penalties-Yards,11-65,4-17
Third Down Conv.,6-14,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,30:09,29:51
