Quarter,Time,Tm,Detail,DET,NOR
2.0,5:45,Lions,Shaun Rogers 21 yard defensive fumble return (Jason Hanson kick),7,0
,1:04,Saints,John Carney 35 yard field goal,7,3
3.0,9:16,Saints,John Carney 47 yard field goal,7,6
,5:49,Saints,John Carney 33 yard field goal,7,9
4.0,7:14,Lions,Jason Hanson 21 yard field goal,10,9
,1:52,Saints,John Carney 20 yard field goal,10,12
,0:00,Lions,Jason Hanson 39 yard field goal,13,12
