Quarter,Time,Down,ToGo,Location,DET,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Mitch Berger kicks off 69 yards, returned by Eddie Drummond for 19 yards (tackle by Mel Mitchell)",0.000,0.280
1,14:55,1,10,DET 20,0,0,Joey Harrington pass complete to Marcus Pollard for 7 yards (tackle by Dwight Smith),0.280,0.680
1,14:22,2,3,DET 27,0,0,Artose Pinner up the middle for 2 yards (tackle by Terrence Melton and Charles Grant),0.680,0.230
1,13:46,3,1,DET 29,0,0,Artose Pinner right tackle for 2 yards (tackle by Ronald McKinnon and Willie Whitehead),0.230,1.000
1,13:08,1,10,DET 31,0,0,Artose Pinner left end for 4 yards (tackle by Colby Bockwoldt),1.000,1.000
1,12:28,2,6,DET 35,0,0,Joey Harrington pass incomplete intended for Roy Williams,1.000,0.300
1,12:24,3,6,DET 35,0,0,Joey Harrington pass complete to Mike Williams for 21 yards (tackle by Fakhir Brown),0.300,2.650
1,11:45,1,10,NOR 44,0,0,Artose Pinner up the middle for 1 yard (tackle by Charles Grant and Colby Bockwoldt),2.650,2.250
1,11:02,2,9,NOR 43,0,0,"Penalty on Kelly Butler: False Start, 5 yards (no play)",2.250,1.570
1,10:38,2,14,NOR 48,0,0,Joey Harrington pass complete to Artose Pinner for 23 yards (tackle by Dwight Smith),1.570,3.910
1,10:12,1,10,NOR 25,0,0,Artose Pinner right end for 1 yard (tackle by Ronald McKinnon),3.910,3.500
1,9:32,2,9,NOR 24,0,0,Shawn Bryson left tackle for 1 yard (tackle by T.J. Slaughter),3.500,2.940
1,8:45,3,8,NOR 23,0,0,Joey Harrington pass complete to Marcus Pollard for 9 yards (tackle by T.J. Slaughter),2.940,4.650
1,8:06,1,10,NOR 14,0,0,Joey Harrington pass complete to Artose Pinner for 3 yards (tackle by Terrence Melton),4.650,4.520
