Quarter,Time,Tm,Detail,PHI,WAS
1.0,1:23,Eagles,Jake Elliott 25 yard field goal,3,0
,1:11,Redskins,Terry McLaurin 75 yard pass from Dwayne Haskins (Dustin Hopkins kick),3,7
2.0,9:53,Eagles,Miles Sanders 1 yard rush (Jake Elliott kick),10,7
,6:58,Redskins,Steven Sims 5 yard pass from Dwayne Haskins (Dustin Hopkins kick),10,14
3.0,5:53,Eagles,Miles Sanders 15 yard pass from Carson Wentz (Jake Elliott kick),17,14
4.0,14:53,Redskins,Adrian Peterson 10 yard rush (Dustin Hopkins kick),17,21
,9:59,Eagles,Zach Ertz 2 yard pass from Carson Wentz (Jake Elliott kick),24,21
,8:02,Redskins,Dustin Hopkins 53 yard field goal,24,24
,4:52,Redskins,Dustin Hopkins 43 yard field goal,24,27
,0:26,Eagles,Greg Ward 4 yard pass from Carson Wentz (Jake Elliott kick),31,27
,0:00,Eagles,Nigel Bradham 48 yard fumble return,37,27
