Unnamed: 0,PHI,WAS
First Downs,27,19
Rush-Yds-TDs,28-157-1,22-101-1
Cmp-Att-Yd-TD-INT,30-43-266-3-0,19-28-261-2-0
Sacked-Yards,2-8,1-10
Net Pass Yards,258,251
Total Yards,415,352
Fumbles-Lost,4-1,1-1
Turnovers,1,1
Penalties-Yards,7-54,5-60
Third Down Conv.,11-16,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,36:57,23:03
