Quarter,Time,Tm,Detail,NOR,TAM
1,8:13,Saints,John Carney 28 yard field goal,3,0
,0:19,Saints,John Carney 41 yard field goal,6,0
2,13:20,Buccaneers,Martin Gramatica 52 yard field goal,6,3
,4:02,Saints,Boo Williams 32 yard pass from Aaron Brooks (John Carney kick),13,3
3,11:34,Buccaneers,Keenan McCardell 4 yard pass from Brad Johnson (Martin Gramatica kick),13,10
,8:36,Saints,Donte' Stallworth 41 yard pass from Aaron Brooks (John Carney kick),20,10
4,2:41,Buccaneers,Joe Jurevicius 11 yard pass from Brad Johnson (Martin Gramatica kick),20,17
,0:00,Buccaneers,Martin Gramatica 40 yard field goal,20,20
OT,2:50,Saints,James Allen interception in end zone,26,20
