Unnamed: 0,NOR,TAM
First Downs,21,19
Rush-Yds-TDs,34-118-0,21-72-0
Cmp-Att-Yd-TD-INT,24-42-260-2-1,28-53-278-2-1
Sacked-Yards,2-10,3-17
Net Pass Yards,250,261
Total Yards,368,333
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,5-45,8-85
Third Down Conv.,10-20,7-19
Fourth Down Conv.,0-0,0-1
Time of Possession,40:41,31:29
