Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Dan Carpenter kicks off 65 yards, returned by Chris Givens for 20 yards (tackle by Jonathan Amaya)",0.000,0.280
1,14:54,1,10,STL 20,0,0,Steven Jackson right tackle for 5 yards (tackle by Randy Starks),0.280,0.410
1,14:21,2,5,STL 25,0,0,Daryl Richardson right end for 44 yards (tackle by Reshad Jones),0.410,3.510
1,13:46,1,10,MIA 31,0,0,Steven Jackson left tackle for 5 yards (tackle by Nolan Carroll),3.510,3.640
1,13:07,2,5,MIA 26,0,0,Sam Bradford pass incomplete short left intended for Brandon Gibson,3.640,2.940
1,12:59,3,5,MIA 26,0,0,Sam Bradford sacked by Cameron Wake for -4 yards,2.940,1.410
1,12:49,4,9,MIA 30,3,0,Greg Zuerlein 48 yard field goal good,1.410,3.000
1,12:25,,,STL 35,3,0,"Greg Zuerlein kicks off 72 yards, returned by Marcus Thigpen for 25 yards (tackle by Eugene Sims)",0.000,0.040
1,12:19,1,10,MIA 18,3,0,Ryan Tannehill pass complete short left to Davone Bess for 7 yards (tackle by Janoris Jenkins),0.040,0.550
1,11:49,2,3,MIA 25,3,0,Ryan Tannehill pass incomplete short left intended for Anthony Fasano (defended by Quintin Mikell),0.550,-0.270
1,11:37,3,3,MIA 25,3,0,Ryan Tannehill pass complete short middle to Davone Bess for 11 yards (tackle by Craig Dahl),-0.270,1.330
1,11:07,1,10,MIA 36,3,0,Reggie Bush up the middle for 9 yards (tackle by Quintin Mikell),1.330,2.010
1,10:25,2,1,MIA 45,3,0,Ryan Tannehill sacked by Chris Long for -5 yards,2.010,0.630
1,9:46,3,6,MIA 40,3,0,Ryan Tannehill pass complete short left to Davone Bess for 2 yards (tackle by Janoris Jenkins),0.630,-0.590
1,9:00,4,4,MIA 42,3,0,"Brandon Fields punts 53 yards, returned by Janoris Jenkins for 7 yards (tackle by John Denney). Janoris Jenkins fumbles (forced by John Denney), ball out of bounds at STL-8",-0.590,0.380
1,8:46,1,10,STL 8,3,0,Steven Jackson left tackle for -3 yards (tackle by Jared Odrick),-0.380,-1.000
1,8:12,2,13,STL 5,3,0,Sam Bradford pass complete short right to Chris Givens for 8 yards (tackle by Sean Smith),-1.000,-0.840
1,7:31,3,5,STL 13,3,0,Sam Bradford pass complete short right to Austin Pettis for 11 yards (tackle by Jimmy Wilson),-0.840,0.540
1,6:52,1,10,STL 24,3,0,Sam Bradford pass complete deep right to Chris Givens for 65 yards (tackle by Reshad Jones),0.540,4.840
1,6:11,1,10,MIA 11,3,0,Sam Bradford pass incomplete short right intended for Steven Jackson (defended by Kevin Burnett),4.840,4.140
1,6:03,2,10,MIA 11,3,0,Sam Bradford pass complete short right to Daryl Richardson for -3 yards (tackle by Chris Clemons),4.140,3.030
1,5:23,3,13,MIA 14,3,0,Sam Bradford pass incomplete short left intended for Austin Pettis,3.030,2.510
1,5:12,4,13,MIA 14,6,0,Greg Zuerlein 32 yard field goal good,2.510,3.000
1,5:08,,,STL 35,6,0,"Greg Zuerlein kicks off 65 yards, touchback",0.000,0.280
1,5:08,1,10,MIA 20,6,0,Reggie Bush up the middle for -5 yards (tackle by Kendall Langford),0.280,-1.070
1,4:29,2,15,MIA 15,6,0,Ryan Tannehill pass complete short right to Reggie Bush for 8 yards (tackle by Craig Dahl),-1.070,-0.560
1,3:48,3,7,MIA 23,6,0,Ryan Tannehill pass complete short left to Matt Moore for 5 yards (tackle by Quintin Mikell),-0.560,-1.500
1,3:11,4,2,MIA 28,6,0,"Brandon Fields punts 58 yards, returned by Janoris Jenkins for 14 yards (tackle by Chris Clemons). Penalty on Josh Hull: Illegal Block Above the Waist, 10 yards",-1.500,-0.040
1,2:51,1,10,STL 18,6,0,Daryl Richardson right end for 2 yards (tackle by Sean Smith),0.040,-0.130
1,2:19,2,8,STL 20,6,0,Daryl Richardson left end for 11 yards (tackle by Chris Clemons),-0.130,1.000
1,1:37,1,10,STL 31,6,0,Sam Bradford pass complete short right to Chris Givens for 12 yards,1.000,1.800
1,1:16,1,10,STL 43,6,0,Daryl Richardson right tackle for 6 yards (tackle by Chris Clemons),1.800,2.060
1,0:21,2,4,STL 49,6,0,Sam Bradford pass incomplete deep left intended for Chris Givens (defended by Kevin Burnett),2.060,1.350
1,0:15,3,4,STL 49,6,0,Sam Bradford pass incomplete short right intended for Daryl Richardson,1.350,-0.130
1,0:10,4,4,STL 49,6,0,"John Hekker punts 36 yards, fair catch by Davone Bess",-0.130,0.220
1,0:02,1,10,MIA 15,6,0,"Lamar Miller left end for -1 yards (tackle by Jermelle Cudjo). Penalty on Richie Incognito: Offensive Holding, 7 yards (no play)",-0.220,-0.650
Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,17,MIA 8,6,0,"Reggie Bush up the middle for no gain (tackle by Eugene Sims). Penalty on Kellen Heard: Defensive Offside, 5 yards (no play)",-0.650,-0.370
2,14:54,1,12,MIA 13,6,0,Ryan Tannehill pass complete short left to Reggie Bush for 4 yards (tackle by Craig Dahl),-0.370,-0.440
2,14:31,2,8,MIA 17,6,0,Ryan Tannehill pass incomplete short right intended for Davone Bess. Penalty on Jake Long: Illegal Use of Hands (Declined),-0.440,-1.120
2,14:23,3,8,MIA 17,6,0,"Ryan Tannehill pass complete short middle to Reggie Bush for no gain. Penalty on Jake Long: Offensive Holding, 8 yards (no play)",-1.120,-2.120
2,14:06,3,16,MIA 9,6,0,"Ryan Tannehill pass complete short right to Anthony Fasano for 11 yards (tackle by Quintin Mikell). Penalty on Richie Incognito: Unnecessary Roughness, 10 yards",-2.120,-2.490
2,13:35,4,15,MIA 10,6,0,"Brandon Fields punts 63 yards, muffed catch by Janoris Jenkins, ball out of bounds at STL-27",-2.490,-0.740
2,13:26,1,10,STL 27,6,0,Sam Bradford left tackle for 8 yards (tackle by Koa Misi),0.740,1.280
2,12:51,2,2,STL 35,6,0,Steven Jackson right guard for 12 yards (tackle by Reshad Jones and Chris Clemons),1.280,2.060
2,12:18,1,10,STL 47,6,0,Steven Jackson up the middle for 2 yards (tackle by Olivier Vernon),2.060,1.790
2,11:43,2,8,STL 49,6,0,Steven Jackson left tackle for no gain (tackle by Olivier Vernon),1.790,1.090
2,11:00,3,8,STL 49,6,0,Sam Bradford for 21 yards (tackle by Reshad Jones),1.090,3.580
2,10:30,1,10,MIA 30,6,0,"Sam Bradford pass incomplete deep left intended for Brian Quick (defended by Nolan Carroll). Penalty on Quinn Ojinnaka: Illegal Use of Hands, 10 yards (no play)",3.580,2.920
2,10:21,1,20,MIA 40,6,0,Sam Bradford pass complete short middle to Isaiah Pead for 3 yards (tackle by Cameron Wake),2.920,2.090
2,9:51,2,17,MIA 37,6,0,Steven Jackson left guard for 11 yards (tackle by Karlos Dansby),2.090,2.870
2,8:57,3,6,MIA 26,6,0,Sam Bradford sacked by Olivier Vernon for -8 yards,2.870,1.060
2,8:38,4,14,MIA 34,6,0,Greg Zuerlein 52 yard field goal no good,1.060,-1.730
2,8:34,1,10,MIA 42,6,0,Ryan Tannehill sacked by Jo-Lonn Dunbar for -7 yards,1.730,0.240
2,8:06,2,17,MIA 35,6,0,Ryan Tannehill pass complete short left to Anthony Fasano for 13 yards,0.240,1.290
2,7:34,3,4,MIA 48,6,0,Ryan Tannehill pass complete short left to Davone Bess for 6 yards (tackle by Cortland Finnegan),1.290,2.520
2,7:01,1,10,STL 46,6,0,Ryan Tannehill pass complete short right to Matt Moore for 12 yards (tackle by Janoris Jenkins),2.520,3.310
2,6:31,1,10,STL 34,6,0,"Matt Moore left end for 1 yard (tackle by Jo-Lonn Dunbar). Penalty on Kellen Heard: Defensive Offside, 5 yards (no play)",3.310,4.040
2,6:13,1,5,STL 29,6,0,Reggie Bush left tackle for no gain (tackle by William Hayes),4.040,3.450
2,5:38,2,5,STL 29,6,6,"Ryan Tannehill pass complete deep left to Matt Moore for 29 yards, touchdown",3.450,7.000
2,5:38,,,STL 2,6,7,"Dan Carpenter kicks extra point good. Penalty on Craig Dahl: Illegal Use of Hands, 5 yards",0.000,0.000
2,5:27,,,MIA 40,6,7,"Dan Carpenter kicks off 52 yards, returned by Brit Miller for 13 yards (tackle by Jimmy Wilson). Brit Miller fumbles (forced by Jimmy Wilson), recovered by Marcus Thigpen at STL-25 (tackle by Austin Pettis)",0.000,-3.910
2,5:16,1,10,STL 25,6,7,Ryan Tannehill pass incomplete short right intended for Davone Bess,3.910,3.360
2,5:10,2,10,STL 25,6,7,Reggie Bush right tackle for no gain (tackle by Kendall Langford),3.360,2.680
2,4:32,3,10,STL 25,6,7,Ryan Tannehill pass incomplete short left intended for Anthony Fasano,2.680,1.800
2,4:24,4,10,STL 25,6,10,Dan Carpenter 42 yard field goal good,1.800,3.000
2,4:19,,,MIA 35,6,10,"Dan Carpenter kicks off 65 yards, touchback",0.000,0.280
2,4:19,1,10,STL 20,6,10,Sam Bradford pass complete short right to Lance Kendricks for 10 yards (tackle by Karlos Dansby),0.280,0.940
2,3:55,1,10,STL 30,6,10,Steven Jackson right tackle for 4 yards (tackle by Kevin Burnett),0.940,0.930
2,3:16,2,6,STL 34,6,10,Sam Bradford pass complete short right to Brandon Gibson for 15 yards (tackle by Reshad Jones),0.930,2.190
2,2:44,1,10,STL 49,6,10,"Penalty on Harvey Dahl: False Start, 5 yards (no play)",2.190,1.860
2,2:29,1,15,STL 44,6,10,Sam Bradford pass complete deep left to Brandon Gibson for 16 yards,1.860,2.920
2,2:00,1,10,MIA 40,6,10,Steven Jackson up the middle for 4 yards (tackle by Chris Clemons),2.920,2.910
2,1:41,2,6,MIA 36,6,10,Sam Bradford pass complete short left to Brandon Gibson for 9 yards (tackle by Nolan Carroll),2.910,3.780
2,0:52,1,10,MIA 27,6,10,"Steven Jackson right end for 8 yards (tackle by Karlos Dansby). Penalty on Matthew Mulligan: Offensive Holding, 10 yards (no play)",3.780,3.120
2,0:40,1,20,MIA 37,6,10,Sam Bradford pass incomplete short middle intended for Austin Pettis,3.120,1.880
2,0:37,2,20,MIA 37,6,10,Sam Bradford pass complete deep right to Lance Kendricks for 23 yards (tackle by Karlos Dansby),1.880,0.000
2,0:30,,,,6,10,Timeout #1 by St. Louis Rams,0.000,4.650
2,0:30,1,10,MIA 14,6,10,"Sam Bradford pass incomplete short left intended for Chris Givens. Penalty on Quinn Ojinnaka: Illegal Use of Hands, 10 yards (no play)",4.650,3.970
2,0:24,1,20,MIA 24,6,10,Daryl Richardson left guard for 5 yards (tackle by Koa Misi),3.970,0.000
2,0:18,,,,6,10,Timeout #2 by St. Louis Rams,0.000,3.370
2,0:18,2,15,MIA 19,6,10,Sam Bradford pass incomplete deep left intended for Brandon Gibson,3.370,2.730
2,0:13,3,15,MIA 19,6,10,Sam Bradford pass incomplete short left intended for Chris Givens,2.730,0.000
2,0:08,,,,6,10,Timeout #1 by Miami Dolphins,0.000,2.180
2,0:08,4,15,MIA 19,6,10,Greg Zuerlein 37 yard field goal no good,2.180,-0.740
2,0:03,1,10,MIA 27,6,10,Ryan Tannehill kneels for -1 yards,0.740,0.060
Quarter,Time,Down,ToGo,Location,STL,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,STL 35,6,10,"Greg Zuerlein kicks off 71 yards, returned by Marcus Thigpen for 44 yards (tackle by Greg Zuerlein)",0.000,1.470
3,14:53,1,10,MIA 38,6,10,Reggie Bush right end for 2 yards (tackle by Craig Dahl),1.470,1.190
3,14:36,2,8,MIA 40,6,10,Ryan Tannehill pass complete short right to Reggie Bush for 9 yards (tackle by Craig Dahl),1.190,2.190
3,13:52,1,10,MIA 49,6,10,Ryan Tannehill pass complete short left to Jorvorskie Lane for 7 yards (tackle by James Laurinaitis),2.190,2.590
3,13:13,2,3,STL 44,6,10,Ryan Tannehill pass complete short middle to Anthony Fasano for 8 yards (tackle by Cortland Finnegan),2.590,3.180
3,12:38,1,10,STL 36,6,10,Reggie Bush left tackle for 1 yard (tackle by James Laurinaitis),3.180,2.770
3,12:06,2,9,STL 35,6,10,Ryan Tannehill pass complete short right to Jorvorskie Lane for 5 yards (tackle by Cortland Finnegan),2.770,2.740
3,11:26,3,4,STL 30,6,10,"Ryan Tannehill pass incomplete short right intended for Brian Hartline. Penalty on Bradley Fletcher: Defensive Pass Interference, 11 yards (no play)",2.740,4.310
3,11:17,1,10,STL 19,6,10,Ryan Tannehill pass incomplete short right intended for Davone Bess (defended by Bradley Fletcher),4.310,3.750
3,11:12,2,10,STL 19,6,10,"Penalty on John Jerry: False Start, 5 yards (no play)",3.750,3.090
3,11:12,2,15,STL 24,6,10,Ryan Tannehill pass complete short left to Reggie Bush for 9 yards (tackle by James Laurinaitis),3.090,3.580
3,10:47,3,6,STL 15,6,10,Ryan Tannehill pass complete short middle to Reggie Bush for 14 yards (tackle by Craig Dahl),3.580,6.970
3,9:46,1,1,STL 1,6,16,"Ryan Tannehill pass complete short middle to Anthony Fasano for 1 yard, touchdown",6.970,7.000
3,9:46,,,STL 2,6,17,Dan Carpenter kicks extra point good,0.000,0.000
3,9:40,,,MIA 35,6,17,"Dan Carpenter kicks off 65 yards, touchback",0.000,0.280
3,9:40,1,10,STL 20,6,17,Steven Jackson up the middle for 3 yards (tackle by Karlos Dansby),0.280,0.140
3,9:09,2,7,STL 23,6,17,Daryl Richardson up the middle for -1 yards (tackle by Paul Soliai),0.140,-0.690
3,8:17,3,8,STL 22,6,17,"Penalty on STL: Delay of Game, 5 yards (no play)",-0.690,-1.510
3,8:10,3,13,STL 17,6,17,Sam Bradford pass complete short middle to Steven Jackson for 22 yards (tackle by Chris Clemons),-1.510,1.530
3,7:05,1,10,STL 39,6,17,Daryl Richardson right end for 4 yards (tackle by Cameron Wake),1.530,1.530
3,6:24,2,6,STL 43,6,17,Sam Bradford pass complete short left to Lance Kendricks for 1 yard (tackle by Chris Clemons),1.530,0.960
3,5:41,3,5,STL 44,6,17,Sam Bradford pass incomplete,0.960,-0.460
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
3,5:35,4,5,STL 44,6,17,"John Hekker punts 56 yards, touchback",-0.460,-0.280
3,5:25,1,10,MIA 20,6,17,Ryan Tannehill pass incomplete short left intended for Charles Clay,0.280,-0.270
3,5:22,2,10,MIA 20,6,17,Ryan Tannehill pass complete short left to Charles Clay for 8 yards (tackle by Jo-Lonn Dunbar),-0.270,0.100
3,5:06,3,2,MIA 28,6,17,Ryan Tannehill pass incomplete short left intended for Reggie Bush,0.100,-1.500
3,4:48,4,2,MIA 28,6,17,"Brandon Fields punts 54 yards, returned by Janoris Jenkins for 5 yards (tackle by Jason Trusnik)",-1.500,-0.480
3,4:36,1,10,STL 23,6,17,Daryl Richardson left end for 1 yard (tackle by Jared Odrick),0.480,0.070
3,3:58,2,9,STL 24,6,17,Sam Bradford pass complete short right to Brandon Gibson for 15 yards (tackle by Sean Smith),0.070,1.530
3,3:29,1,10,STL 39,6,17,Sam Bradford pass complete short right to Matthew Mulligan for 9 yards (tackle by Sean Smith),1.530,2.200
3,2:44,2,1,STL 48,6,17,Daryl Richardson right guard for 2 yards (tackle by Karlos Dansby),2.200,2.260
3,2:05,1,10,MIA 50,6,17,Daryl Richardson left tackle for 1 yard (tackle by Chris Clemons and Karlos Dansby),2.260,1.850
3,1:19,2,9,MIA 49,6,17,Sam Bradford pass incomplete short right intended for Chris Givens,1.850,1.160
,,,,,,,"Replay Assistant challenged the fumble ruling, and the original play was overturned.",,
3,1:15,3,9,MIA 49,6,17,Sam Bradford pass incomplete short right intended for Chris Givens (defended by Jared Odrick),1.160,0.000
3,1:12,4,9,MIA 49,6,17,John Hekker punts 43 yards,0.000,0.380
3,1:03,1,10,MIA 6,6,17,Reggie Bush right end for 5 yards (tackle by Jo-Lonn Dunbar),-0.380,-0.420
