Unnamed: 0,STL,MIA
First Downs,22,12
Rush-Yds-TDs,27-162-1,17-36-0
Cmp-Att-Yd-TD-INT,26-39-315-0-0,21-29-185-2-0
Sacked-Yards,3-15,3-29
Net Pass Yards,300,156
Total Yards,462,192
Fumbles-Lost,3-1,1-0
Turnovers,1,0
Penalties-Yards,12-94,5-40
Third Down Conv.,3-13,4-12
Fourth Down Conv.,2-2,1-1
Time of Possession,33:23,26:37
