Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Reggie Bush,NOR,0,0,,0,0,1,7,7.0,0,0
Michael Lewis,NOR,4,112,28.0,0,0,0,0,,0,0
Jamal Jones,NOR,2,36,18.0,0,0,0,0,,0,0
Mike Karney,NOR,1,10,10.0,0,0,0,0,,0,0
,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Najeh Davenport,PIT,4,97,24.3,0,0,0,0,,0,0
Sean Morey,PIT,2,38,19.0,0,0,0,0,,0,0
