Unnamed: 0,NOR,PIT
First Downs,29,19
Rush-Yds-TDs,29-120-2,26-217-2
Cmp-Att-Yd-TD-INT,31-47-398-1-0,17-28-264-3-0
Sacked-Yards,1-5,2-14
Net Pass Yards,393,250
Total Yards,513,467
Fumbles-Lost,5-3,1-0
Turnovers,3,0
Penalties-Yards,3-25,5-34
Third Down Conv.,10-16,7-12
Fourth Down Conv.,1-1,0-0
Time of Possession,33:01,26:59
