Quarter,Time,Tm,Detail,CHI,LVR
1.0,4:00,Raiders,Daniel Carlson 31 yard field goal,0,3
2.0,13:11,Bears,Jesper Horsted 2 yard pass from Justin Fields (Cairo Santos kick),7,3
,1:56,Bears,Damien Williams 4 yard rush (Cairo Santos kick),14,3
4.0,9:01,Raiders,Josh Jacobs 1 yard rush (pass failed),14,9
,2:45,Bears,Cairo Santos 46 yard field goal,17,9
,0:56,Bears,Cairo Santos 46 yard field goal,20,9
