Unnamed: 0,CHI,LVR
First Downs,19,16
Rush-Yds-TDs,37-143-1,22-71-1
Cmp-Att-Yd-TD-INT,13-21-119-1-0,22-35-206-0-1
Sacked-Yards,2-10,3-18
Net Pass Yards,109,188
Total Yards,252,259
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,8-70,10-82
Third Down Conv.,6-13,5-14
Fourth Down Conv.,0-0,1-3
Time of Possession,32:02,27:58
