Unnamed: 0,CIN,NYJ
First Downs,13,18
Rush-Yds-TDs,20-46-0,37-170-1
Cmp-Att-Yd-TD-INT,17-39-135-1-2,16-28-166-1-1
Sacked-Yards,3-18,2-17
Net Pass Yards,117,149
Total Yards,163,319
Fumbles-Lost,1-1,0-0
Turnovers,3,1
Penalties-Yards,2-25,8-64
Third Down Conv.,4-15,3-13
Fourth Down Conv.,0-0,0-0
Time of Possession,26:31,33:29
