Quarter,Time,Down,ToGo,Location,NYJ,DEN,Detail,EPB,EPA
2,8:51,2,8,DEN 33,0,10,Zach Wilson pass complete short right to Michael Carter for -5 yards (tackle by Justin Simmons and Malik Reed),,
2,8:09,3,13,DEN 38,0,10,Zach Wilson pass incomplete deep left intended for Corey Davis (defended by Patrick Surtain),,
2,7:54,4,13,DEN 38,0,10,"Penalty on NYJ: Delay of Game, 5 yards (accepted) (no play)",,
2,7:54,4,18,DEN 43,0,10,"Thomas Morstead punts 37 yards, fair catch by Diontae Spencer at DEN-6",,
2,7:47,1,10,DEN 6,0,10,Melvin Gordon right guard for 2 yards (tackle by Quinnen Williams),,
2,7:14,2,9,DEN 8,0,10,Melvin Gordon left end for 2 yards (tackle by Michael Carter and Javelin Guidry),,
2,6:35,3,6,DEN 10,0,10,"Penalty on Courtland Sutton: False Start, 5 yards (accepted) (no play)",,
2,6:09,3,11,DEN 5,0,10,Teddy Bridgewater pass complete short right to Noah Fant for 9 yards (tackle by Michael Carter and C.J. Mosley),,
2,5:33,4,2,DEN 14,0,10,Sam Martin punts 53 yards out of bounds,,
2,5:22,1,10,NYJ 33,0,10,Zach Wilson sacked by Shelby Harris for -1 yards,,
2,4:40,2,11,NYJ 32,0,10,Zach Wilson pass incomplete short left,,
2,4:30,3,11,NYJ 32,0,10,Zach Wilson sacked by Von Miller for -8 yards,,
2,3:49,4,20,NYJ 24,0,10,"Thomas Morstead punts 45 yards, returned by Diontae Spencer for 5 yards (tackle by Jamien Sherwood)",,
2,3:38,1,10,DEN 36,0,10,Teddy Bridgewater pass incomplete deep left intended for KJ Hamler (defended by Brandin Echols),,
2,3:31,2,10,DEN 36,0,10,Javonte Williams left tackle for no gain (tackle by Adrian Colbert),,
2,2:49,3,10,DEN 36,0,10,Teddy Bridgewater scrambles right end for 13 yards (tackle by Michael Carter),,
2,2:13,1,10,DEN 49,0,10,Javonte Williams left guard for 4 yards (tackle by John Franklin-Myers),,
2,2:00,2,6,NYJ 47,0,10,"Teddy Bridgewater pass complete to Tim Patrick for 27 yards (tackle by Bryce Hall). Penalty on Bryce Hall: Illegal Use of Hands / Defense, 5 yards (declined)",,
2,1:43,1,10,NYJ 20,0,10,Teddy Bridgewater pass complete to Courtland Sutton for 6 yards (tackle by Quincy Williams),,
