Unnamed: 0,LAR,BAL
First Downs,20,19
Rush-Yds-TDs,20-73-1,32-165-0
Cmp-Att-Yd-TD-INT,26-35-309-2-2,20-32-197-0-1
Sacked-Yards,1-9,5-35
Net Pass Yards,300,162
Total Yards,373,327
Fumbles-Lost,1-1,1-1
Turnovers,3,2
Penalties-Yards,4-35,4-24
Third Down Conv.,3-9,4-14
Fourth Down Conv.,1-1,3-3
Time of Possession,26:21,33:39
