Quarter,Time,Tm,Detail,LAR,BAL
1.0,1:58,Ravens,Chuck Clark 17 yard interception return (Justin Tucker kick),0,7
2.0,3:41,Ravens,Justin Tucker 22 yard field goal,0,10
,0:55,Rams,Cooper Kupp 18 yard pass from Matthew Stafford (Matt Gay kick),7,10
,0:02,Ravens,Justin Tucker 46 yard field goal,7,13
3.0,4:42,Ravens,Justin Tucker 46 yard field goal,7,16
4.0,12:09,Rams,Sony Michel 1 yard rush (Matt Gay kick),14,16
,4:30,Ravens,Justin Tucker 34 yard field goal,14,19
,0:57,Rams,Odell Beckham Jr. 7 yard pass from Matthew Stafford (pass failed),20,19
