Unnamed: 0,NYJ,PIT
First Downs,16,21
Rush-Yds-TDs,22-90-0,28-66-1
Cmp-Att-Yd-TD-INT,10-27-138-1-0,24-31-275-2-0
Sacked-Yards,2-9,3-10
Net Pass Yards,129,265
Total Yards,219,331
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,7-63,10-107
Third Down Conv.,4-12,8-15
Fourth Down Conv.,0-0,0-0
Time of Possession,23:24,36:36
