Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
1,7:49,3,4,NYJ 16,0,3,"Penalty on NYJ: Illegal Substitution, 5 yards (no play)",-0.720,-1.300
1,7:27,3,9,NYJ 11,0,3,Mark Sanchez pass complete short right to Santonio Holmes for 11 yards (tackle by Cortez Allen),-1.300,0.410
1,6:39,1,10,NYJ 22,0,3,Mark Sanchez pass incomplete deep left intended for Santonio Holmes,0.410,-0.130
1,6:32,2,10,NYJ 22,0,3,"Mark Sanchez pass incomplete short right intended for Santonio Holmes. Penalty on Ike Taylor: Defensive Pass Interference, 12 yards (no play)",-0.130,1.200
1,6:27,1,10,NYJ 34,0,3,Mark Sanchez pass complete deep left to Jeremy Kerley for 45 yards (tackle by Keenan Lewis),1.200,4.170
1,5:46,1,10,PIT 21,0,3,Shonn Greene right guard for -3 yards (tackle by Lawrence Timmons),4.170,3.220
1,5:02,2,13,PIT 24,0,3,--,3.220,4.020
1,4:24,3,3,PIT 14,6,3,"Mark Sanchez pass complete short right to Santonio Holmes for 14 yards, touchdown",4.020,7.000
1,4:24,,,PIT 2,7,3,Nick Folk kicks extra point good,0.000,0.000
1,4:19,,,NYJ 35,7,3,"Nick Folk kicks off 62 yards, returned by Chris Rainey for 22 yards (tackle by Joe McKnight)",0.000,0.610
1,4:14,1,10,PIT 25,7,3,Ben Roethlisberger pass complete short left to Antonio Brown for 10 yards (tackle by Ellis Lankster),0.610,1.270
1,3:31,1,10,PIT 35,7,3,Isaac Redman left tackle for 13 yards (tackle by Yeremiah Bell),1.270,2.130
1,2:56,1,10,PIT 48,7,3,Isaac Redman up the middle for 2 yards (tackle by Bart Scott and Mike DeVito),2.130,1.850
1,2:19,2,8,PIT 50,7,3,Ben Roethlisberger pass incomplete short middle intended for Emmanuel Sanders (defended by Sione Pouha),1.850,1.160
1,2:14,3,8,PIT 50,7,3,Ben Roethlisberger pass complete short right to Antonio Brown for 18 yards (tackle by Ellis Lankster),1.160,3.450
1,1:42,1,10,NYJ 32,7,3,Isaac Redman right tackle for -1 yards (tackle by Garrett McIntyre),3.450,2.770
1,0:57,2,11,NYJ 33,7,3,Ben Roethlisberger pass complete short right to Mike Wallace for 7 yards (tackle by Antonio Cromartie),2.770,3.010
1,0:15,3,4,NYJ 26,7,3,Chris Rainey left guard for -1 yards (tackle by Quinton Coples and Josh Bush),3.010,1.720
Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,5,NYJ 27,7,6,Shaun Suisham 45 yard field goal good,1.720,3.000
2,14:56,,,PIT 35,7,6,"Shaun Suisham kicks off 65 yards, touchback",0.000,0.280
2,14:55,1,10,NYJ 20,7,6,Shonn Greene right tackle for 6 yards (tackle by Larry Foote),0.280,0.540
2,14:25,2,4,NYJ 26,7,6,Shonn Greene left guard for 1 yard (tackle by Larry Foote),0.540,-0.030
2,13:51,3,3,NYJ 27,7,6,"Mark Sanchez pass incomplete short right intended for Jeremy Kerley. Penalty on Lawrence Timmons: Personal Foul, 15 yards (no play)",-0.030,1.730
2,13:44,1,10,NYJ 42,7,6,Shonn Greene up the middle for 4 yards (tackle by Steve McLendon),1.730,1.730
2,13:09,2,6,NYJ 46,7,6,"Mark Sanchez pass incomplete deep left intended for Santonio Holmes. Penalty on Ike Taylor: Defensive Holding, 5 yards (no play)",1.730,2.320
2,13:04,1,10,PIT 49,7,6,Mark Sanchez pass incomplete deep right intended for Stephen Hill (defended by Ryan Clark),2.320,1.780
2,12:56,2,10,PIT 49,7,6,Shonn Greene up the middle for 9 yards (tackle by Ryan Mundy),1.780,2.280
2,12:19,3,1,PIT 40,7,6,Bilal Powell right guard for 2 yards (tackle by Brett Keisel),2.280,3.050
2,11:39,1,10,PIT 38,7,6,Bilal Powell left tackle for 4 yards (tackle by Larry Foote),3.050,3.050
2,11:07,2,6,PIT 34,7,6,Bilal Powell left guard for 10 yards (tackle by Ryan Mundy),3.050,3.970
2,10:30,1,10,PIT 24,7,6,Mark Sanchez pass incomplete deep middle intended for Santonio Holmes,3.970,3.430
2,10:25,2,10,PIT 24,7,6,Bilal Powell up the middle for 5 yards (tackle by Ryan Clark and Larry Foote),3.430,3.410
2,9:43,3,5,PIT 19,7,6,Mark Sanchez pass incomplete short middle intended for Jeff Cumberland,3.410,2.240
2,9:38,4,5,PIT 19,10,6,Nick Folk 38 yard field goal good,2.240,3.000
2,9:35,,,NYJ 35,10,6,"Nick Folk kicks off 69 yards, returned by Chris Rainey for 23 yards (tackle by Josh Bush)",0.000,0.150
2,9:29,1,10,PIT 19,10,6,Jonathan Dwyer up the middle for 2 yards (tackle by Bart Scott),0.150,-0.060
2,8:48,2,8,PIT 21,10,6,Ben Roethlisberger sacked by Sione Pouha for -2 yards,-0.060,-1.070
2,8:03,3,10,PIT 19,10,6,Ben Roethlisberger pass incomplete deep right intended for Antonio Brown (defended by Ellis Lankster),-1.070,-2.140
2,7:54,4,10,PIT 19,10,6,"Drew Butler punts 42 yards, returned by Jeremy Kerley for 3 yards (tackle by David Paulson)",-2.140,-1.730
2,7:47,1,10,NYJ 42,10,6,Mark Sanchez pass incomplete short right intended for Bilal Powell,1.730,1.190
2,7:40,2,10,NYJ 42,10,6,Bilal Powell up the middle for no gain (tackle by Casey Hampton and Brett Keisel),1.190,0.500
2,7:00,3,10,NYJ 42,10,6,Mark Sanchez pass incomplete short left intended for Santonio Holmes,0.500,-0.590
2,6:55,4,10,NYJ 42,10,6,"Robert Malone punts 58 yards, touchback",-0.590,-0.280
2,6:43,1,10,PIT 20,10,6,Ben Roethlisberger pass complete short right to Leonard Pope for 7 yards (tackle by Calvin Pace),0.280,0.680
2,5:58,2,3,PIT 27,10,6,Ben Roethlisberger pass complete short middle to Jonathan Dwyer for 12 yards (tackle by David Harris),0.680,1.530
2,5:13,1,10,PIT 39,10,6,Jonathan Dwyer right tackle for 1 yard (tackle by David Harris),1.530,1.120
2,4:29,2,9,PIT 40,10,6,Ben Roethlisberger pass incomplete short left intended for Antonio Brown,1.120,0.000
2,4:23,,,,10,6,Timeout #1 by Pittsburgh Steelers,0.000,0.430
2,4:23,3,9,PIT 40,10,6,Ben Roethlisberger pass complete short middle to Emmanuel Sanders for 10 yards (tackle by Kyle Wilson),0.430,2.260
2,3:40,1,10,,10,6,Jonathan Dwyer right guard for 4 yards (tackle by Mike DeVito and Calvin Pace),2.260,2.250
2,2:58,2,6,NYJ 46,10,6,"Ben Roethlisberger pass complete short left to Emmanuel Sanders for 19 yards (tackle by David Harris and LaRon Landry). Penalty on LaRon Landry: Personal Foul, 13 yards",2.250,4.650
2,2:29,1,10,NYJ 14,10,6,Jonathan Dwyer right guard for 6 yards (tackle by Kyle Wilson),4.650,5.090
2,2:00,2,4,NYJ 8,10,6,Jonathan Dwyer right guard for 1 yard (tackle by Muhammad Wilkerson and Kenrick Ellis),5.090,0.000
2,1:52,,,,10,6,Timeout #1 by New York Jets,0.000,4.500
2,1:52,3,3,NYJ 7,10,6,Ben Roethlisberger pass complete short middle to Jerricho Cotchery for 6 yards (tackle by Yeremiah Bell and Bart Scott),4.500,6.970
2,1:08,1,1,NYJ 1,10,12,"Ben Roethlisberger pass complete short left to Heath Miller for 1 yard, touchdown",6.970,7.000
2,1:08,,,NYJ 2,10,13,Shaun Suisham kicks extra point good,0.000,0.000
2,1:03,,,PIT 35,10,13,"Shaun Suisham kicks off 67 yards, returned by Joe McKnight for 33 yards (tackle by Brandon Johnson)",0.000,1.000
2,0:57,1,10,NYJ 31,10,13,Bilal Powell right guard for 2 yards (tackle by Ryan Clark),1.000,0.730
2,0:15,2,8,NYJ 33,10,13,Bilal Powell up the middle for 2 yards (tackle by Lawrence Timmons),0.730,0.300
Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,10,13,"Shaun Suisham kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,NYJ 20,10,13,Mark Sanchez pass complete short right to Konrad Reuland for 7 yards (tackle by LaMarr Woodley),0.280,0.680
3,14:21,2,3,NYJ 27,10,13,Shonn Greene right guard for 2 yards (tackle by Ryan Clark),0.680,0.230
3,13:45,3,1,NYJ 29,10,13,Shonn Greene up the middle for 2 yards (tackle by Evander Hood),0.230,1.000
3,13:03,1,10,NYJ 31,10,13,"Mark Sanchez pass incomplete short right intended for Santonio Holmes. Penalty on Shonn Greene: Offensive Holding, 10 yards (no play)",1.000,0.340
3,12:34,1,20,NYJ 21,10,13,Shonn Greene up the middle for 2 yards (tackle by Brett Keisel and Steve McLendon),0.340,-0.620
3,11:58,2,18,NYJ 23,10,13,Mark Sanchez pass complete short right to Jeff Cumberland for 2 yards (tackle by Ryan Clark and Brandon Johnson),-0.620,-1.020
3,11:15,3,16,NYJ 25,10,13,Mark Sanchez sacked by LaMarr Woodley for -6 yards,-1.020,-2.140
3,11:09,4,22,NYJ 19,10,13,"Robert Malone punts 53 yards, returned by Chris Rainey for 13 yards (tackle by Garrett McIntyre)",-2.140,-1.660
3,10:58,1,10,PIT 41,10,13,Jonathan Dwyer right guard for 2 yards (tackle by Bart Scott and Calvin Pace),1.660,1.390
3,10:15,2,8,PIT 43,10,13,"Ben Roethlisberger pass complete short left to Antonio Brown for 11 yards (tackle by LaRon Landry). Penalty on LaRon Landry: Horse Collar Tackle, 15 yards",1.390,3.510
3,9:45,1,10,NYJ 31,10,13,Ben Roethlisberger pass incomplete short right intended for Jerricho Cotchery (defended by David Harris),3.510,2.970
3,9:40,2,10,NYJ 31,10,13,Jonathan Dwyer left tackle for -6 yards (tackle by Muhammad Wilkerson),2.970,1.490
3,8:53,3,16,NYJ 37,10,19,"Ben Roethlisberger pass complete deep right to Mike Wallace for 37 yards, touchdown",1.490,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
3,8:53,,,NYJ 2,10,20,Shaun Suisham kicks extra point good,0.000,0.000
3,8:44,,,PIT 35,10,20,"Shaun Suisham kicks off 70 yards, returned by Joe McKnight for 32 yards (tackle by Jason Worilds)",0.000,0.740
3,8:39,1,10,NYJ 27,10,20,Tim Tebow left guard for 22 yards (tackle by Ryan Clark),0.740,2.190
3,7:57,1,10,NYJ 49,10,20,Joe McKnight right end for 12 yards (tackle by Ryan Mundy and Brett Keisel),2.190,2.980
3,7:02,1,10,PIT 39,10,20,Shonn Greene right tackle for -6 yards (tackle by Ryan Clark),2.980,1.630
3,6:23,2,16,PIT 45,10,20,Mark Sanchez pass incomplete short left intended for Stephen Hill,1.630,0.960
3,6:16,3,16,PIT 45,10,20,Mark Sanchez pass incomplete short left intended for Santonio Holmes (defended by Ike Taylor),0.960,0.270
3,6:10,4,16,PIT 45,10,20,Robert Malone punts 41 yards,0.270,0.380
3,5:58,1,10,PIT 4,10,20,Ben Roethlisberger pass complete short right to Chris Rainey for 5 yards (tackle by Calvin Pace),-0.380,-0.420
3,5:26,2,5,PIT 9,10,20,Jonathan Dwyer right guard for no gain (tackle by Bart Scott and David Harris),-0.420,-0.840
3,4:41,3,5,PIT 9,10,20,Ben Roethlisberger pass complete short middle to Emmanuel Sanders for 4 yards (tackle by David Harris and Bart Scott),-0.840,-2.490
,,,,,,,"NYJ challenged the first down ruling, and the original play was overturned.",,
3,4:37,4,1,PIT 13,10,20,"Drew Butler punts 49 yards, muffed catch by Jeremy Kerley, recovered by Ryan Mundy and returned for no gain. Penalty on Kyle Wilson: Illegal Block Above the Waist (Declined)",-2.490,2.790
3,4:27,1,10,NYJ 42,10,20,Chris Rainey up the middle for 4 yards (tackle by Bart Scott),2.790,2.780
3,3:44,2,6,NYJ 38,10,20,Ben Roethlisberger pass incomplete deep right intended for Jonathan Dwyer,2.780,0.000
3,3:35,,,,10,20,Timeout #1 by Pittsburgh Steelers,0.000,2.080
3,3:35,3,6,NYJ 38,10,20,Ben Roethlisberger pass incomplete short left intended for Chris Rainey,2.080,0.720
3,3:31,4,6,NYJ 38,10,20,"Penalty on Ben Roethlisberger: Delay of Game, 5 yards (no play)",0.720,0.400
3,3:31,4,11,NYJ 43,10,20,Drew Butler punts 37 yards,0.400,0.380
3,3:19,1,10,NYJ 6,10,20,Mark Sanchez pass complete short middle to Konrad Reuland for 13 yards (tackle by Larry Foote and Ryan Clark),-0.380,0.150
3,2:43,1,10,NYJ 19,10,20,Bilal Powell right guard for 5 yards (tackle by Lawrence Timmons and Casey Hampton),0.150,0.340
3,2:03,2,5,NYJ 24,10,20,Mark Sanchez pass incomplete short right intended for Santonio Holmes,0.340,-0.420
3,1:57,3,5,NYJ 24,10,20,Mark Sanchez pass incomplete short middle intended for Jeremy Kerley,-0.420,0.000
3,1:52,,,,10,20,Timeout #2 by Pittsburgh Steelers,0.000,-1.770
3,1:52,4,5,NYJ 24,10,20,"Robert Malone punts 32 yards. Penalty on Isaiah Trufant: Illegal Touch Kick, 5 yards",-1.770,-2.190
3,1:42,1,10,PIT 49,10,20,"Jonathan Dwyer right guard for 7 yards (tackle by David Harris). Penalty on Marcus Gilbert: Offensive Holding, 10 yards (no play)",2.190,1.530
3,1:08,1,20,PIT 39,10,20,"Ben Roethlisberger pass incomplete deep right intended for Antonio Brown. Penalty on Ben Roethlisberger: Intentional Grounding, 10 yards",1.530,-1.050
3,1:01,2,30,PIT 29,10,20,Ben Roethlisberger pass complete short left to Antonio Brown for -2 yards (tackle by Ellis Lankster),-1.050,-1.950
3,0:16,3,32,PIT 27,10,20,Ben Roethlisberger pass complete deep middle to Antonio Brown for 25 yards (tackle by Kyle Wilson),-1.950,0.070
Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,7,NYJ 48,10,20,"Drew Butler punts 38 yards, fair catch by Jeremy Kerley. Penalty on Will Allen: Offensive Holding, 10 yards",0.070,-0.280
4,14:53,1,10,NYJ 20,10,20,"Mark Sanchez pass incomplete deep left intended for Santonio Holmes (defended by Ryan Clark). Penalty on Ike Taylor: Defensive Pass Interference, 19 yards (no play)",0.280,1.530
4,14:46,1,10,NYJ 39,10,20,Bilal Powell up the middle for 3 yards (tackle by Larry Foote and Brett Keisel),1.530,1.390
4,14:08,2,7,NYJ 42,10,20,Mark Sanchez pass incomplete short right intended for Santonio Holmes (defended by Ike Taylor),1.390,0.700
4,14:02,3,7,NYJ 42,10,20,Mark Sanchez pass incomplete short right intended for Jeremy Kerley (defended by Cortez Allen),0.700,-0.590
4,13:56,4,7,NYJ 42,10,20,"Robert Malone punts 33 yards, out of bounds",-0.590,-0.610
4,13:47,1,10,PIT 25,10,20,Isaac Redman up the middle for 3 yards (tackle by Muhammad Wilkerson and LaRon Landry),0.610,0.470
4,13:04,2,7,PIT 28,10,20,Ben Roethlisberger pass complete short right to Mike Wallace for 6 yards (tackle by Kyle Wilson),0.470,0.560
4,12:23,3,1,PIT 34,10,20,Isaac Redman left guard for 10 yards (tackle by Yeremiah Bell and Kyle Wilson),0.560,1.860
4,11:38,1,10,PIT 44,10,20,Isaac Redman up the middle for -2 yards (tackle by Garrett McIntyre),1.860,1.050
4,10:54,2,12,PIT 42,10,20,Ben Roethlisberger pass complete short left to Heath Miller for 8 yards (tackle by David Harris and LaRon Landry),1.050,1.420
4,10:10,3,4,PIT 50,10,20,"Ben Roethlisberger pass complete short left to Heath Miller for no gain. Penalty on Yeremiah Bell: Defensive Holding, 5 yards (no play)",1.420,2.590
4,9:39,1,10,NYJ 45,10,20,Ben Roethlisberger sacked by Garrett McIntyre for -3 yards,2.590,1.640
4,8:58,2,13,NYJ 48,10,20,"Penalty on Maurkice Pouncey: False Start, 5 yards (no play)",1.640,0.960
4,8:35,2,18,PIT 47,10,20,Ben Roethlisberger pass complete short left to Isaac Redman for 14 yards (tackle by Mike DeVito),0.960,2.150
4,7:48,3,4,NYJ 39,10,20,Ben Roethlisberger pass complete short right to Antonio Brown for 9 yards (tackle by LaRon Landry),2.150,3.580
4,7:08,1,10,NYJ 30,10,20,Isaac Redman left tackle for 6 yards (tackle by Mike DeVito and Yeremiah Bell),3.580,3.840
,,,,,,,"NYJ challenged the fumble ruling, and the play was upheld.",,
4,6:27,2,4,NYJ 24,10,20,Isaac Redman right tackle for 1 yard (tackle by Kyle Wilson),3.840,3.270
4,5:43,3,3,NYJ 23,10,20,Ben Roethlisberger pass complete short right to Heath Miller for 10 yards (tackle by Yeremiah Bell),3.270,4.710
4,5:08,1,10,NYJ 13,10,20,Jonathan Dwyer left tackle for 4 yards (tackle by Kyle Wilson),4.710,4.770
4,4:29,2,6,NYJ 9,10,20,Jonathan Dwyer right end for 7 yards (tackle by Yeremiah Bell and LaRon Landry),4.770,0.000
4,3:41,,,,10,20,Timeout #3 by Pittsburgh Steelers,0.000,6.740
4,3:41,1,2,NYJ 2,10,26,"Isaac Redman right tackle for 2 yards, touchdown",6.740,7.000
4,3:41,,,NYJ 2,10,27,Shaun Suisham kicks extra point good,0.000,0.000
4,3:34,,,PIT 35,10,27,"Shaun Suisham kicks off 74 yards, returned by Joe McKnight for 26 yards (tackle by Brandon Johnson)",0.000,-0.060
4,3:30,1,10,NYJ 17,10,27,Mark Sanchez pass incomplete short left intended for Santonio Holmes,-0.060,-0.580
4,3:26,2,10,NYJ 17,10,27,Mark Sanchez pass incomplete short right intended for Santonio Holmes,-0.580,-1.250
4,3:21,3,10,NYJ 17,10,27,Mark Sanchez pass incomplete short middle intended for Jeff Cumberland (defended by Lawrence Timmons),-1.250,-2.320
4,3:15,4,10,NYJ 17,10,27,"Robert Malone punts 55 yards, returned by Antonio Brown for 10 yards (tackle by Ellis Lankster)",-2.320,-1.470
4,3:04,1,10,PIT 38,10,27,Jonathan Dwyer up the middle for 3 yards (tackle by Mike DeVito and David Harris),1.470,1.330
4,2:18,2,7,PIT 41,10,27,Jonathan Dwyer up the middle for 4 yards (tackle by Yeremiah Bell),1.330,1.160
4,2:00,3,3,PIT 45,10,27,Baron Batch right guard for 1 yard (tackle by Yeremiah Bell and David Harris),1.160,-0.320
4,1:18,4,2,PIT 46,10,27,"Drew Butler punts 39 yards, returned by Jeremy Kerley for 3 yards (tackle by Greg Warren)",-0.320,-0.040
4,1:07,1,10,NYJ 18,10,27,Mark Sanchez pass complete short left to Jeff Cumberland for 11 yards (tackle by Ryan Mundy and Chris Carter),0.040,0.870
4,0:42,1,10,NYJ 29,10,27,Mark Sanchez pass incomplete short middle intended for Bilal Powell,0.870,0.330
4,0:36,2,10,NYJ 29,10,27,"Mark Sanchez pass incomplete short middle intended for Santonio Holmes (defended by Keenan Lewis). Penalty on Keenan Lewis: Defensive Pass Interference, 16 yards (no play)",0.330,1.930
4,0:28,1,10,NYJ 45,10,27,Mark Sanchez pass complete deep middle to Jeremy Kerley for 22 yards (tackle by Lawrence Timmons). Penalty on PIT: Defensive Holding (Declined),1.930,3.380
4,0:21,1,10,PIT 33,10,27,Mark Sanchez pass incomplete deep middle intended for Jeff Cumberland,3.380,2.840
4,0:16,2,10,PIT 33,10,27,Mark Sanchez pass complete short left to Santonio Holmes for 3 yards (tackle by Keenan Lewis),2.840,2.540
4,0:10,3,7,PIT 30,10,27,Mark Sanchez sacked by Cameron Heyward for -3 yards,2.540,1.150
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
