Quarter,Time,Tm,Detail,NYJ,PIT
1.0,9:07,Steelers,Shaun Suisham 45 yard field goal,0,3
,4:19,Jets,Santonio Holmes 14 yard pass from Mark Sanchez (Nick Folk kick),7,3
2.0,14:56,Steelers,Shaun Suisham 45 yard field goal,7,6
,9:35,Jets,Nick Folk 38 yard field goal,10,6
,1:03,Steelers,Heath Miller 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,13
3.0,8:44,Steelers,Mike Wallace 37 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,20
4.0,3:34,Steelers,Isaac Redman 2 yard rush (Shaun Suisham kick),10,27
