Unnamed: 0,OAK,KAN
First Downs,13,26
Rush-Yds-TDs,25-71-0,30-135-0
Cmp-Att-Yd-TD-INT,16-26-237-1-2,21-36-300-1-2
Sacked-Yards,0-0,0-0
Net Pass Yards,237,300
Total Yards,308,435
Fumbles-Lost,0-0,0-0
Turnovers,2,2
Penalties-Yards,15-92,11-88
Third Down Conv.,3-11,3-12
Fourth Down Conv.,0-0,0-1
Time of Possession,29:34,32:39
