Unnamed: 0,SEA,STL
First Downs,25,18
Rush-Yds-TDs,29-171-1,27-102-1
Cmp-Att-Yd-TD-INT,23-36-313-2-0,18-21-173-2-0
Sacked-Yards,3-21,0-0
Net Pass Yards,292,173
Total Yards,463,275
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,10-86,2-20
Third Down Conv.,6-12,4-9
Fourth Down Conv.,0-0,1-1
Time of Possession,32:24,27:36
