Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,STL 20,0,0,Benny Cunningham up the middle for 5 yards (tackle by Brandon Mebane),0.280,0.410
1,14:29,2,5,STL 25,0,0,Austin Davis pass complete short right to Kenny Britt for -2 yards (tackle by Richard Sherman),0.410,-0.560
1,13:53,3,7,STL 23,0,0,Austin Davis pass complete short middle to Tavon Austin for 4 yards (tackle by Tharold Simon),-0.560,-1.570
1,13:18,4,3,STL 27,0,0,"Johnny Hekker punts 56 yards, returned by Bryan Walters for 9 yards (tackle by Chase Reynolds)",-1.570,-0.670
1,13:07,1,10,SEA 26,0,0,Marshawn Lynch right tackle for 1 yard (tackle by Aaron Donald),0.670,0.270
1,12:36,2,9,SEA 27,0,0,Marshawn Lynch left guard for 13 yards (tackle by Janoris Jenkins),0.270,1.600
1,11:56,1,10,SEA 40,0,0,Russell Wilson pass incomplete short middle intended for Doug Baldwin (defended by Janoris Jenkins),1.600,1.050
1,11:53,2,10,SEA 40,0,0,Marshawn Lynch right tackle for no gain (tackle by Kendall Langford),1.050,0.370
1,11:14,3,10,SEA 40,0,0,Russell Wilson pass complete short middle to Doug Baldwin for 49 yards (tackle by Rodney McLeod),0.370,4.840
1,10:25,1,10,STL 11,0,0,Marshawn Lynch left end for 3 yards (tackle by Lamarcus Joyner and Janoris Jenkins),4.840,4.700
1,9:50,2,7,STL 8,0,0,Marshawn Lynch up the middle for 2 yards (tackle by Jo-Lonn Dunbar and Rodney McLeod),4.700,4.210
1,9:10,3,5,STL 6,0,0,Russell Wilson pass incomplete short middle intended for Jermaine Kearse,4.210,2.990
1,9:04,4,5,STL 6,3,0,Steven Hauschka 24 yard field goal good,2.990,3.000
1,9:04,,,SEA 35,3,0,"Steven Hauschka kicks off 71 yards, returned by Benny Cunningham for 75 yards (tackle by Jermaine Kearse)",0.000,-3.510
1,8:51,1,10,SEA 31,3,0,Tre Mason left guard for 4 yards (tackle by K.J. Wright),3.510,3.510
1,8:15,2,6,SEA 27,3,0,Tre Mason right tackle for 4 yards (tackle by K.J. Wright and Kam Chancellor),3.510,3.340
1,7:25,3,2,SEA 23,3,0,Austin Davis pass complete short right to Kenny Britt for 6 yards (tackle by K.J. Wright),3.340,4.440
1,6:42,1,10,SEA 17,3,0,Tavon Austin up the middle for 8 yards (tackle by Earl Thomas and Bruce Irvin),4.440,5.290
1,6:03,2,2,SEA 9,3,0,Tre Mason right guard for 3 yards (tackle by Malcolm Smith),5.290,5.830
1,5:25,1,6,SEA 6,3,6,"Tre Mason up the middle for 6 yards, touchdown",5.830,7.000
1,5:25,,,SEA 2,3,7,Greg Zuerlein kicks extra point good,0.000,0.000
1,5:25,,,STL 35,3,7,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
1,5:19,1,10,SEA 20,3,7,Russell Wilson pass complete short left to Paul Richardson for 10 yards (tackle by Janoris Jenkins),0.280,0.940
1,4:40,1,10,SEA 30,3,7,Russell Wilson pass incomplete short right intended for Jermaine Kearse (defended by E.J. Gaines),0.940,0.390
1,4:35,2,10,SEA 30,3,7,Marshawn Lynch up the middle for 2 yards (tackle by Aaron Donald and William Hayes),0.390,-0.030
1,4:06,3,8,SEA 32,3,7,"Penalty on SEA: Offensive 12 On-field, 5 yards (no play)",-0.030,-0.690
1,3:37,3,13,SEA 27,3,7,Russell Wilson pass incomplete short left intended for Doug Baldwin (defended by Rodney McLeod),-0.690,-1.570
1,3:30,4,13,SEA 27,3,7,"Jon Ryan punts 46 yards, returned by Tavon Austin for -1 yards (tackle by Kevin Pierre-Louis)",-1.570,-0.670
1,3:21,1,10,STL 26,3,7,Austin Davis pass complete short left to Brian Quick for 14 yards (tackle by Earl Thomas),0.670,1.600
1,2:41,1,10,STL 40,3,7,Austin Davis pass complete short middle to Tavon Austin for 5 yards (tackle by Kam Chancellor),1.600,1.730
1,2:05,2,5,STL 45,3,7,Tavon Austin up the middle for 1 yard (tackle by Malcolm Smith),1.730,1.160
1,1:23,3,4,STL 46,3,7,"Austin Davis pass incomplete deep left intended for Brian Quick. Penalty on Tharold Simon: Defensive Pass Interference, 16 yards (no play)",1.160,3.050
1,1:18,1,10,SEA 38,3,7,Tre Mason left end for 28 yards (tackle by Earl Thomas),3.050,4.910
1,0:35,1,10,SEA 10,3,7,"Penalty on Brandon Mebane: Encroachment, 5 yards (no play)",4.910,6.060
1,0:01,1,5,SEA 5,3,7,"Tre Mason left tackle for -2 yards (tackle by Brandon Mebane). Penalty on Brian Quick: Unnecessary Roughness, 15 yards",6.060,2.730
Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,22,SEA 22,3,7,"Austin Davis pass complete short left to Tavon Austin for -3 yards (tackle by K.J. Wright). Penalty on Tharold Simon: Face Mask (15 Yards), 10 yards (no play)",2.730,4.780
2,14:41,1,10,SEA 12,3,7,Tre Mason right tackle for 1 yard (tackle by Kam Chancellor and K.J. Wright),4.780,4.270
2,13:56,2,9,SEA 11,3,7,Austin Davis pass complete short right to Benny Cunningham for 6 yards (tackle by Malcolm Smith and K.J. Wright),4.270,4.270
2,13:18,2,9,SEA 11,3,7,Timeout #1 by St. Louis Rams,4.270,4.610
2,13:18,3,3,SEA 5,3,13,"Austin Davis pass complete short right to Benny Cunningham for 5 yards, touchdown",4.610,7.000
2,13:18,,,SEA 2,3,14,Greg Zuerlein kicks extra point good,0.000,0.000
2,13:18,,,STL 35,3,14,"Greg Zuerlein kicks off 72 yards, returned by Bryan Walters for 27 yards (tackle by Daren Bates)",0.000,-0.280
2,13:07,1,10,SEA 20,3,14,Russell Wilson pass incomplete short right intended for Cooper Helfet,0.280,-0.270
2,13:02,2,10,SEA 20,3,14,Russell Wilson pass complete short right to Jermaine Kearse for 17 yards (tackle by Eugene Sims),-0.270,1.400
2,12:23,1,10,SEA 37,3,14,Marshawn Lynch left tackle for 3 yards (tackle by Janoris Jenkins and Jo-Lonn Dunbar),1.400,1.260
2,11:46,2,7,SEA 40,3,14,Marshawn Lynch up the middle for 2 yards (tackle by Alec Ogletree),1.260,0.830
2,11:07,3,5,SEA 42,3,14,Russell Wilson pass complete short left to Doug Baldwin for 9 yards (tackle by Lamarcus Joyner),0.830,2.320
2,10:51,1,10,STL 49,3,14,Russell Wilson pass complete short left to Robert Turbin for 9 yards (tackle by James Laurinaitis),2.320,3.000
2,10:07,2,1,STL 40,3,14,Christine Michael right tackle for 2 yards (tackle by Kendall Langford),3.000,3.050
2,9:30,1,10,STL 38,3,14,Russell Wilson sacked by Aaron Donald for -5 yards,3.050,1.830
2,8:47,2,15,STL 43,3,14,Robert Turbin up the middle for 1 yard (tackle by Alec Ogletree),1.830,1.290
2,8:04,3,14,STL 42,3,14,Russell Wilson sacked by Eugene Sims for -9 yards,1.290,-0.130
2,7:24,4,23,SEA 49,3,20,"Jon Ryan punts 41 yards, returned by Stedman Bailey for 90 yards, touchdown",-0.130,-7.000
2,7:05,,,SEA 2,3,21,Greg Zuerlein kicks extra point good,0.000,0.000
2,7:05,,,STL 35,3,21,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.280
2,7:05,1,10,SEA 20,3,21,Marshawn Lynch up the middle for 2 yards (tackle by E.J. Gaines and Michael Brockers),0.280,0.000
2,6:29,2,8,SEA 22,3,21,Russell Wilson sacked by Robert Quinn for -7 yards,0.000,-1.860
