Quarter,Time,Tm,Detail,BAL,PIT
1,7:41,Steelers,Josh Scobee 45 yard field goal,0,3
,0:25,Ravens,Michael Campanaro 9 yard rush (Justin Tucker kick),7,3
2,1:37,Steelers,Le'Veon Bell 11 yard rush (Josh Scobee kick),7,10
,0:00,Steelers,Josh Scobee 36 yard field goal,7,13
3,10:41,Steelers,Darrius Heyward-Bey 9 yard pass from Michael Vick (Josh Scobee kick),7,20
,7:27,Ravens,Kamar Aiken 15 yard pass from Joe Flacco (Justin Tucker kick),14,20
4,10:14,Ravens,Justin Tucker 40 yard field goal,17,20
,0:03,Ravens,Justin Tucker 42 yard field goal,20,20
OT,5:08,Ravens,Justin Tucker 52 yard field goal,23,20
