Unnamed: 0,BAL,PIT
First Downs,21,17
Rush-Yds-TDs,39-191-1,33-167-1
Cmp-Att-Yd-TD-INT,21-34-186-1-1,19-26-124-1-0
Sacked-Yards,5-21,4-28
Net Pass Yards,165,96
Total Yards,356,263
Fumbles-Lost,3-1,2-0
Turnovers,2,0
Penalties-Yards,4-30,4-20
Third Down Conv.,6-17,2-13
Fourth Down Conv.,1-4,0-2
Time of Possession,37:43,32:09
