Unnamed: 0,PHI,NYG
First Downs,21,16
Rush-Yds-TDs,25-96-2,24-54-0
Cmp-Att-Yd-TD-INT,27-47-364-0-2,22-36-257-4-2
Sacked-Yards,2-17,1-9
Net Pass Yards,347,248
Total Yards,443,302
Fumbles-Lost,1-0,1-0
Turnovers,2,2
Penalties-Yards,4-43,5-30
Third Down Conv.,3-15,4-13
Fourth Down Conv.,1-4,0-1
Time of Possession,32:40,27:20
