Quarter,Time,Tm,Detail,PHI,CHI
1.0,5:00,Eagles,David Akers 51 yard field goal,3,0
2.0,10:59,Eagles,David Akers 42 yard field goal,6,0
,6:03,Eagles,Terrell Owens 11 yard pass from Donovan McNabb (David Akers kick),13,0
,1:57,Eagles,David Akers 42 yard field goal,16,0
,0:06,Bears,Paul Edinger 25 yard field goal,16,3
3.0,4:41,Eagles,David Akers 40 yard field goal,19,3
4.0,3:57,Bears,Bryan Johnson 2 yard pass from Jonathan Quinn (run failed),19,9
