Unnamed: 0,PHI,CHI
First Downs,24,14
Rush-Yds-TDs,32-158-0,13-32-0
Cmp-Att-Yd-TD-INT,24-38-237-1-1,26-43-215-1-0
Sacked-Yards,3-19,4-23
Net Pass Yards,218,192
Total Yards,376,224
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,10-73,4-36
Third Down Conv.,4-14,4-15
Fourth Down Conv.,0-0,1-1
Time of Possession,37:21,22:39
