Quarter,Time,Tm,Detail,CIN,NYJ
1.0,13:36,Bengals,Nedu Ndukwe 15 yard defensive fumble return (Dave Rayner kick),7,0
,7:44,Jets,Thomas Jones 2 yard pass from Brett Favre (Jay Feely kick),7,7
2.0,10:56,Jets,Jay Feely 38 yard field goal,7,10
,7:57,Jets,Thomas Jones 7 yard rush (Jay Feely kick),7,17
,0:08,Bengals,Ryan Fitzpatrick 1 yard rush (Dave Rayner kick),14,17
3.0,5:36,Jets,Jay Feely 43 yard field goal,14,20
4.0,2:22,Jets,Thomas Jones 1 yard rush (pass failed),14,26
