Unnamed: 0,CIN,NYJ
First Downs,13,19
Rush-Yds-TDs,21-43-1,27-86-2
Cmp-Att-Yd-TD-INT,20-33-152-0-0,25-33-189-1-2
Sacked-Yards,5-24,2-23
Net Pass Yards,128,166
Total Yards,171,252
Fumbles-Lost,2-1,1-1
Turnovers,1,3
Penalties-Yards,4-23,4-25
Third Down Conv.,5-15,7-14
Fourth Down Conv.,2-2,1-1
Time of Possession,24:42,35:18
