Unnamed: 0,TAM,DEN
First Downs,17,17
Rush-Yds-TDs,22-139-0,26-106-0
Cmp-Att-Yd-TD-INT,26-36-181-1-1,23-34-227-1-0
Sacked-Yards,3-13,0-0
Net Pass Yards,168,227
Total Yards,307,333
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,5-30,6-55
Third Down Conv.,6-15,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,30:47,29:13
