Quarter,Time,Down,ToGo,Location,TAM,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 74 yards, returned by Andre Hall for 23 yards (tackle by Will Allen)",0.000,0.150
1,14:56,1,10,DEN 19,0,0,Jay Cutler pass incomplete short right intended for Daniel Graham,0.150,-0.390
1,14:49,2,10,DEN 19,0,0,Selvin Young up the middle for 8 yards (tackle by Barrett Ruud),-0.390,-0.030
1,14:14,3,2,DEN 27,0,0,Michael Pittman left tackle for 1 yard (tackle by Barrett Ruud),-0.030,-1.500
1,13:45,4,1,DEN 28,0,0,Brett Kern punts 42 yards,-1.500,-1.000
1,13:34,1,10,TAM 31,0,0,Earnest Graham up the middle for 3 yards (tackle by Nate Webster),1.000,0.870
1,13:08,2,7,TAM 34,0,0,Earnest Graham up the middle for 1 yard (tackle by Nate Webster and Marquand Manuel),0.870,0.300
1,12:36,3,6,TAM 35,0,0,Brian Griese pass complete short middle to Earnest Graham for 5 yards (tackle by Boss Bailey),0.300,-0.720
1,11:58,4,1,TAM 40,0,0,Josh Bidwell punts 44 yards,-0.720,0.060
1,11:47,1,10,DEN 17,0,0,Selvin Young right guard for 3 yards (tackle by Chris Hovan),-0.060,-0.060
1,11:14,2,7,DEN 20,0,0,Jay Cutler pass complete short right to Eddie Royal for 4 yards (tackle by Derrick Brooks),-0.060,-0.370
1,10:39,3,3,DEN 24,0,0,Jay Cutler pass complete short middle to Brandon Marshall for 6 yards (tackle by Tanard Jackson),-0.370,0.940
1,9:58,1,10,DEN 30,0,0,Selvin Young up the middle for 2 yards (tackle by Barrett Ruud and Derrick Brooks),0.940,0.660
1,9:26,2,8,DEN 32,0,0,Jay Cutler pass complete short left to Andre Hall for 6 yards (tackle by Ronde Barber),0.660,0.760
1,8:46,3,2,DEN 38,0,0,Jay Cutler pass incomplete short right intended for Brandon Marshall,0.760,-0.850
1,8:41,4,2,DEN 38,0,0,"Brett Kern punts 48 yards, returned by Dexter Jackson for 6 yards (tackle by Mike Leach)",-0.850,-0.280
1,8:29,1,10,TAM 20,0,0,Brian Griese pass complete short left to Michael Bennett for 2 yards (tackle by John Engelberger),0.280,0.000
1,7:44,2,8,TAM 22,0,0,Earnest Graham right tackle for 14 yards (tackle by Boss Bailey),0.000,1.330
1,7:05,1,10,TAM 36,0,0,"Brian Griese pass complete short right to Ike Hilliard for 8 yards (tackle by D.J. Williams). Penalty on Marcus Thomas: Defensive Offside, 5 yards (no play)",1.330,2.060
1,6:49,1,5,TAM 41,0,0,Warrick Dunn right tackle for 38 yards (tackle by Champ Bailey and Marlon McCree),2.060,4.170
1,6:02,1,10,DEN 21,0,0,Warrick Dunn right tackle for no gain (tackle by D.J. Williams and Nate Webster),4.170,3.630
1,5:22,2,10,DEN 21,0,0,Brian Griese pass incomplete deep right intended for Jerramy Stevens,3.630,2.940
1,5:16,3,10,DEN 21,0,0,Brian Griese pass complete short middle to Michael Clayton for 6 yards (tackle by Boss Bailey),2.940,2.520
1,4:32,4,4,DEN 15,3,0,Matt Bryant 33 yard field goal good,2.520,3.000
1,,,,TAM 30,3,0,"Matt Bryant kicks off 71 yards, returned by Andre Hall for 24 yards (tackle by Tanard Jackson)",0.000,0.480
1,4:21,1,10,DEN 23,3,0,Jay Cutler pass incomplete short middle intended for Daniel Graham (defended by Jermaine Phillips),0.480,-0.070
1,4:17,2,10,DEN 23,3,0,Andre Hall right end for -1 yards (tackle by Barrett Ruud and Derrick Brooks),-0.070,-0.890
1,3:34,3,11,DEN 22,3,0,Jay Cutler left end for 12 yards (tackle by Ronde Barber),-0.890,1.200
1,3:00,1,10,DEN 34,3,0,Jay Cutler pass complete short right to Brandon Stokley for 11 yards (tackle by Jermaine Phillips),1.200,1.930
1,2:34,1,10,DEN 45,3,0,Andre Hall up the middle for 3 yards (tackle by Ryan Sims),1.930,1.790
1,1:58,2,7,DEN 48,3,0,Jay Cutler pass complete short left to Eddie Royal for 12 yards (tackle by Ronde Barber),1.790,2.920
1,1:20,1,10,TAM 40,3,0,Selvin Young left end for 6 yards (tackle by Ronde Barber),2.920,3.180
1,0:43,2,4,TAM 34,3,0,Jay Cutler pass incomplete short right intended for Brandon Marshall (defended by Ronde Barber),3.180,2.480
1,0:38,3,4,TAM 34,3,0,"Jay Cutler for 8 yards. Penalty on Ben Hamilton: Offensive Holding, 10 yards, Penalty on Ryan Clady: Offensive Holding (Declined) (no play)",2.480,1.160
1,0:17,,,,3,0,Timeout #1 by Tampa Bay Buccaneers,0.000,1.160
1,0:17,3,14,TAM 44,3,0,Jay Cutler pass complete short left to Michael Pittman for 7 yards (tackle by Stylez G. White),1.160,0.790
Quarter,Time,Down,ToGo,Location,TAM,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,7,TAM 37,3,3,Matt Prater 55 yard field goal good,0.790,3.000
2,,,,DEN 30,3,3,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
2,14:56,1,10,TAM 20,3,3,Brian Griese sacked by D.J. Williams for 0 yards,0.280,-0.270
2,14:25,2,10,TAM 20,3,3,Warrick Dunn left tackle for 3 yards (tackle by Boss Bailey and Ebenezer Ekuban),-0.270,-0.560
2,13:45,3,7,TAM 23,3,3,Brian Griese pass complete short left to Michael Clayton for 8 yards (tackle by Boss Bailey),-0.560,1.000
2,13:26,1,10,TAM 31,3,3,Brian Griese sacked by Ebenezer Ekuban for -8 yards,1.000,-0.620
2,12:46,2,18,TAM 23,3,3,"Penalty on Brian Griese: Delay of Game, 5 yards (no play)",-0.620,-1.400
2,12:26,2,23,TAM 18,3,3,Brian Griese pass complete short right to Earnest Graham for 4 yards (tackle by Champ Bailey),-1.400,-1.420
2,11:49,3,19,TAM 22,3,3,Warrick Dunn up the middle for 7 yards (tackle by D.J. Williams and Ebenezer Ekuban),-1.420,-1.440
2,11:11,4,12,TAM 29,3,3,"Josh Bidwell punts 64 yards, returned by Eddie Royal for 5 yards (tackle by Quincy Black)",-1.440,0.350
2,10:58,1,10,DEN 12,3,3,Jay Cutler pass incomplete deep middle intended for Eddie Royal,-0.350,-0.780
2,10:51,2,10,DEN 12,3,3,Jay Cutler pass complete short right to Selvin Young for 1 yard (tackle by Cato June),-0.780,-1.300
2,10:09,3,9,DEN 13,3,3,Jay Cutler up the middle for 8 yards (tackle by Stylez G. White),-1.300,-1.960
,,,,,,,"DEN challenged the first down ruling, and the play was upheld.",,
2,9:27,4,1,DEN 21,3,3,"Brett Kern punts 50 yards, returned by Dexter Jackson for 12 yards (tackle by Vernon Fox)",-1.960,-1.660
2,9:16,1,10,TAM 41,3,3,Earnest Graham right tackle for 4 yards (tackle by Ebenezer Ekuban),1.660,1.660
2,8:41,2,6,TAM 45,3,3,Earnest Graham up the middle for 4 yards (tackle by Nate Webster and Marcus Thomas),1.660,1.490
2,8:02,3,2,TAM 49,3,3,"Brian Griese pass complete short middle to Michael Clayton for 11 yards (tackle by Marlon McCree). Penalty on Jeremy Trueblood: Offensive Holding, 10 yards (no play)",1.490,0.170
2,7:30,3,12,TAM 39,3,3,Brian Griese sacked by Elvis Dumervil for -5 yards,0.170,-1.110
2,7:24,4,17,TAM 34,3,3,"Josh Bidwell punts 50 yards, returned by Eddie Royal for 20 yards (tackle by Quincy Black)",-1.110,-1.330
2,7:09,1,10,DEN 36,3,3,Selvin Young up the middle for 2 yards (tackle by Cato June),1.330,1.060
2,6:40,2,8,DEN 38,3,3,Jay Cutler pass complete short middle to Daniel Graham for 10 yards (tackle by Cato June),1.060,2.130
2,6:08,1,10,DEN 48,3,3,Andre Hall up the middle for no gain (tackle by Gaines Adams),2.130,1.580
2,5:33,2,10,DEN 48,3,3,Jay Cutler pass complete short left to Brandon Marshall for 13 yards (tackle by Jermaine Phillips),1.580,2.980
2,4:58,1,10,TAM 39,3,3,Jay Cutler pass complete short right to Andre Hall for 11 yards (tackle by Cato June),2.980,3.710
2,4:18,1,10,TAM 28,3,3,"Jay Cutler pass complete short left to Brandon Marshall for 7 yards (tackle by Ronde Barber). Penalty on Andre Hall: Chop Block, 15 yards (no play)",3.710,2.720
2,3:53,1,25,TAM 43,3,3,Andre Hall up the middle for 9 yards (tackle by Jermaine Phillips),2.720,2.360
2,3:12,2,16,TAM 34,3,3,"Jay Cutler pass complete short right to Eddie Royal for 8 yards (tackle by Phillip Buchanon). Penalty on Andre Hall: Offensive Holding, 10 yards (no play)",2.360,1.010
2,2:49,2,26,TAM 44,3,3,Jay Cutler pass complete short left to Eddie Royal for 7 yards (tackle by Aqib Talib),1.010,1.290
2,2:33,3,19,TAM 37,3,3,Jay Cutler pass complete short left to Michael Pittman for 15 yards (tackle by Jermaine Phillips),1.290,2.070
