Unnamed: 0,IND,JAX
First Downs,18,25
Rush-Yds-TDs,23-61-0,34-139-1
Cmp-Att-Yd-TD-INT,23-30-308-4-1,23-40-223-3-1
Sacked-Yards,0-0,2-17
Net Pass Yards,308,206
Total Yards,369,345
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,5-40,4-22
Third Down Conv.,8-12,10-16
Fourth Down Conv.,0-0,1-1
Time of Possession,24:34,35:26
