Quarter,Time,Tm,Detail,JAX,NYJ
1.0,8:59,Jaguars,Jason Myers 45 yard field goal,3,0
,5:08,Jets,Eric Decker 7 yard pass from Ryan Fitzpatrick (Ryan Quigley kick),3,7
,0:43,Jets,Chris Ivory 1 yard rush (Ryan Quigley kick),3,14
2.0,0:14,Jaguars,Allen Hurns 30 yard pass from Blake Bortles (Jason Myers kick),10,14
3.0,4:32,Jaguars,Jason Myers 39 yard field goal,13,14
,2:02,Jets,Chris Ivory 1 yard rush (Ryan Quigley kick),13,21
4.0,10:18,Jaguars,Jason Myers 35 yard field goal,16,21
,2:41,Jets,Brandon Marshall 20 yard pass from Ryan Fitzpatrick (Ryan Quigley kick),16,28
,2:16,Jaguars,Bryan Walters 20 yard pass from Blake Bortles (Jason Myers kick),23,28
