Unnamed: 0,JAX,NYJ
First Downs,19,14
Rush-Yds-TDs,19-98-0,28-29-2
Cmp-Att-Yd-TD-INT,24-40-381-2-2,21-34-272-2-0
Sacked-Yards,6-43,2-11
Net Pass Yards,338,261
Total Yards,436,290
Fumbles-Lost,3-2,1-0
Turnovers,4,0
Penalties-Yards,4-30,6-41
Third Down Conv.,7-16,5-15
Fourth Down Conv.,0-0,1-1
Time of Possession,29:16,30:44
