Quarter,Time,Tm,Detail,MIA,NOR
1.0,11:52,Saints,Darren Sproles 5 yard rush (Garrett Hartley kick),0,7
,7:16,Dolphins,Caleb Sturgis 34 yard field goal,3,7
2.0,8:01,Saints,Jimmy Graham 27 yard pass from Drew Brees (Garrett Hartley kick),3,14
,3:35,Dolphins,Lamar Miller 5 yard rush (Caleb Sturgis kick),10,14
,0:55,Saints,Darren Sproles 13 yard pass from Drew Brees (Garrett Hartley kick),10,21
3.0,9:44,Saints,Ben Watson 4 yard pass from Drew Brees (Garrett Hartley kick),10,28
,8:12,Saints,Jimmy Graham 43 yard pass from Drew Brees (Garrett Hartley kick),10,35
4.0,13:48,Dolphins,Charles Clay 3 yard pass from Ryan Tannehill (Caleb Sturgis kick),17,35
,7:15,Saints,Garrett Hartley 29 yard field goal,17,38
