Quarter,Time,Tm,Detail,CAR,MIN
1.0,9:41,Vikings,Kyle Rudolph 4 yard pass from Teddy Bridgewater (Blair Walsh kick),0,7
,7:00,Vikings,Adam Thielen 30 yard blocked punt return (Blair Walsh kick),0,14
,0:37,Panthers,Graham Gano 30 yard field goal,3,14
2.0,9:35,Vikings,Everson Griffen 43 yard blocked punt return (Blair Walsh kick),3,21
,3:28,Panthers,Graham Gano 35 yard field goal,6,21
,0:16,Vikings,Greg Jennings 17 yard pass from Teddy Bridgewater (Blair Walsh kick),6,28
3.0,9:15,Panthers,Corey Brown 32 yard pass from Cam Newton (Graham Gano kick),13,28
4.0,8:55,Vikings,Blair Walsh 39 yard field goal,13,31
