Unnamed: 0,CAR,MIN
First Downs,23,12
Rush-Yds-TDs,33-178-0,24-92-0
Cmp-Att-Yd-TD-INT,18-35-194-1-1,15-21-138-2-0
Sacked-Yards,4-24,3-20
Net Pass Yards,170,118
Total Yards,348,210
Fumbles-Lost,0-0,3-0
Turnovers,1,0
Penalties-Yards,4-35,5-25
Third Down Conv.,7-16,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,35:48,24:12
