Unnamed: 0,GNB,CHI
First Downs,21,18
Rush-Yds-TDs,15-63-1,18-77-0
Cmp-Att-Yd-TD-INT,34-45-316-1-1,16-27-221-1-1
Sacked-Yards,0-0,3-22
Net Pass Yards,316,199
Total Yards,379,276
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,18-152,5-38
Third Down Conv.,4-10,3-9
Fourth Down Conv.,0-0,0-1
Time of Possession,35:49,24:11
