Unnamed: 0,DAL,NYG
First Downs,19,23
Rush-Yds-TDs,25-80-0,28-106-1
Cmp-Att-Yd-TD-INT,20-28-247-4-1,23-34-236-1-2
Sacked-Yards,1-4,5-42
Net Pass Yards,243,194
Total Yards,323,300
Fumbles-Lost,1-0,1-0
Turnovers,1,2
Penalties-Yards,10-84,8-70
Third Down Conv.,5-11,7-14
Fourth Down Conv.,0-0,0-1
Time of Possession,25:12,34:48
