Quarter,Time,Tm,Detail,DAL,NYG
1.0,11:10,Cowboys,Tony Curtis 15 yard pass from Tony Romo (Nick Folk kick),7,0
,6:13,Giants,Jeremy Shockey 8 yard pass from Eli Manning (Lawrence Tynes kick),7,7
2.0,14:56,Cowboys,Nick Folk 44 yard field goal,10,7
,4:33,Giants,Reuben Droughns 1 yard rush (Lawrence Tynes kick),10,14
,0:27,Cowboys,Patrick Crayton 20 yard pass from Tony Romo (Nick Folk kick),17,14
,0:01,Giants,Lawrence Tynes 40 yard field goal,17,17
3.0,7:14,Cowboys,Terrell Owens 25 yard pass from Tony Romo (Nick Folk kick),24,17
4.0,13:18,Giants,Lawrence Tynes 26 yard field goal,24,20
,10:43,Cowboys,Terrell Owens 50 yard pass from Tony Romo (Nick Folk kick),31,20
