Unnamed: 0,DAL,CAR
First Downs,18,18
Rush-Yds-TDs,31-85-0,21-112-1
Cmp-Att-Yd-TD-INT,24-34-227-1-0,21-37-233-1-1
Sacked-Yards,0-0,2-17
Net Pass Yards,227,216
Total Yards,312,328
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,6-43,9-71
Third Down Conv.,6-14,2-10
Fourth Down Conv.,0-0,0-2
Time of Possession,33:37,26:23
