Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Dan Bailey kicks off 60 yards, out of bounds",0.000,1.600
1,15:00,1,10,CAR 40,0,0,Cam Newton pass complete short left to Steve Smith for -1 yards (tackle by Sean Lee),1.600,0.920
1,14:34,2,11,CAR 39,0,0,Jonathan Stewart up the middle for 4 yards (tackle by DeMarcus Ware),0.920,0.760
1,13:56,3,7,CAR 43,0,0,Cam Newton pass incomplete deep left intended for Steve Smith,0.760,-0.520
1,13:51,4,7,CAR 43,0,0,"Brad Nortman punts 46 yards, returned by Dez Bryant for 10 yards (tackle by Haruki Nakamura). Penalty on Dez Bryant: Unnecessary Roughness, 10 yards",-0.520,0.370
1,13:40,1,10,DAL 11,0,0,Felix Jones up the middle for 1 yard (tackle by Dwan Edwards and Ron Edwards),-0.370,-0.710
1,13:07,2,9,DAL 12,0,0,Tony Romo pass complete short middle to Felix Jones for 5 yards (tackle by Luke Kuechly),-0.710,-0.720
1,12:30,3,4,DAL 17,0,0,Tony Romo pass complete short right to Kevin Ogletree for 3 yards (tackle by Josh Thomas),-0.720,-2.030
1,11:51,4,1,DAL 20,0,0,"Brian Moorman punts 47 yards, returned by Captain Munnerlyn for 2 yards (tackle by Eric Frampton). Penalty on Orie Lemon: Offensive Holding, 10 yards",-2.030,-1.930
1,11:42,1,10,CAR 45,0,0,Cam Newton pass complete short left to Steve Smith for 16 yards (tackle by Brandon Carr),1.930,2.980
1,11:00,1,10,DAL 39,0,0,DeAngelo Williams left tackle for 1 yard (tackle by Anthony Spencer),2.980,2.580
1,10:18,2,9,DAL 38,0,0,Cam Newton sacked by Jason Hatcher and DeMarcus Ware for -7 yards,2.580,0.960
1,9:39,3,16,DAL 45,0,0,Cam Newton pass incomplete deep middle intended for Louis Murphy (defended by Sean Lee),0.960,0.270
1,9:33,4,16,DAL 45,0,0,"Brad Nortman punts 37 yards, fair catch by Dwayne Harris",0.270,0.380
1,9:26,1,10,DAL 8,0,0,Felix Jones right tackle for no gain (tackle by Dwan Edwards),-0.380,-0.780
1,8:53,2,10,DAL 8,0,0,Tony Romo pass complete short right to Jason Witten for 6 yards (tackle by James Anderson),-0.780,-0.720
1,8:09,3,4,DAL 14,0,0,Tony Romo pass complete short left to Jason Witten for 11 yards (tackle by Josh Norman),-0.720,0.610
1,7:37,1,10,DAL 25,0,0,Felix Jones up the middle for 4 yards (tackle by Luke Kuechly),0.610,0.600
1,6:55,2,6,DAL 29,0,0,Tony Romo pass complete short right to Lawrence Vickers for 7 yards (tackle by James Anderson),0.600,1.330
1,6:29,1,10,DAL 36,0,0,Felix Jones left end for -1 yards (tackle by Haruki Nakamura),1.330,0.660
1,5:51,2,11,DAL 35,0,0,Tony Romo pass complete short middle to Jason Witten for 5 yards (tackle by Luke Kuechly),0.660,0.630
1,5:08,3,6,DAL 40,0,0,Tony Romo pass complete short middle to Jason Witten for 7 yards (tackle by Charles Godfrey),0.630,2.060
1,4:26,1,10,DAL 47,0,0,Tony Romo pass complete short left to Miles Austin for 14 yards (tackle by Charles Godfrey),2.060,2.980
1,3:37,1,10,CAR 39,0,0,Felix Jones left guard for 3 yards (tackle by Ron Edwards),2.980,2.850
1,2:58,2,7,CAR 36,0,0,Phillip Tanner left guard for 3 yards (tackle by Luke Kuechly),2.850,2.540
1,2:21,3,4,CAR 33,0,0,Tony Romo pass complete short right to Dez Bryant for 9 yards (tackle by Dwan Edwards and Luke Kuechly). Penalty on Dwan Edwards: Defensive Holding (Declined),2.540,3.970
1,1:54,1,10,CAR 24,0,0,Tony Romo pass incomplete short right intended for Felix Jones,3.970,3.430
1,1:50,2,10,CAR 24,0,0,Felix Jones right end for 9 yards (tackle by Sherrod Martin),3.430,4.170
1,1:18,3,1,CAR 15,0,0,"Felix Jones right guard for 5 yards (tackle by Luke Kuechly). Penalty on Sione Fua: Defensive Offside, 6 yards (no play)",4.170,5.140
1,0:48,1,9,CAR 9,0,0,Tony Romo pass incomplete short left intended for Miles Austin,5.140,4.380
1,0:44,2,9,CAR 9,0,0,Phillip Tanner left tackle for 2 yards (tackle by Thomas Davis and Charles Godfrey),4.380,3.810
Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,CAR 7,0,0,Tony Romo pass complete short right to Miles Austin for 6 yards (tackle by Thomas Davis and Luke Kuechly),3.810,3.550
2,14:16,4,1,CAR 1,3,0,Dan Bailey 19 yard field goal good,3.550,3.000
2,14:16,,,DAL 35,3,0,"Dan Bailey kicks off 65 yards, touchback",0.000,0.280
2,14:16,1,10,CAR 20,3,0,Jonathan Stewart right tackle for 6 yards (tackle by Bruce Carter and Anthony Spencer),0.280,0.540
2,13:32,2,4,CAR 26,3,0,Mike Tolbert right guard for 4 yards (tackle by DeMarcus Ware and Jay Ratliff),0.540,0.940
2,12:45,1,10,CAR 30,3,0,Cam Newton pass complete short left to Greg Olsen for 14 yards (tackle by Danny McCray),0.940,1.860
2,12:05,1,10,CAR 44,3,0,Jonathan Stewart left guard for 6 yards (tackle by Sean Lee),1.860,2.130
2,11:23,2,4,,3,0,"Cam Newton pass incomplete deep left intended for Mike Tolbert. Penalty on Amini Silatolu: Offensive Holding, 10 yards (no play)",2.130,0.780
2,11:14,2,14,CAR 40,3,0,Cam Newton pass complete short left to Steve Smith for 11 yards (tackle by Brandon Carr),0.780,1.550
2,10:34,3,3,DAL 49,3,0,"Penalty on Amini Silatolu: False Start, 5 yards (no play)",1.550,0.890
2,10:08,3,8,CAR 46,3,0,Cam Newton for 24 yards (tackle by Anthony Spencer),0.890,3.580
2,9:32,1,10,DAL 30,3,0,DeAngelo Williams left tackle for 3 yards (tackle by DeMarcus Ware),3.580,3.440
2,8:59,2,7,DAL 27,3,0,Cam Newton left tackle for 20 yards (tackle by Danny McCray),3.440,5.600
2,8:22,1,7,DAL 7,3,0,Jonathan Stewart left tackle for 1 yard (tackle by Sean Lee and DeMarcus Ware),5.600,4.950
2,7:38,2,6,DAL 6,3,0,Cam Newton pass incomplete short middle intended for Louis Murphy is intercepted by Morris Claiborne at DAL--3,4.950,-0.280
,,,,,,,"Replay Assistant challenged the ruling, and the play was upheld.",,
2,7:32,1,10,DAL 20,3,0,Felix Jones up the middle for 9 yards (tackle by Charles Johnson and Greg Hardy),0.280,0.950
2,6:55,2,1,DAL 29,3,0,Felix Jones up the middle for 2 yards (tackle by Thomas Davis and Luke Kuechly),0.950,1.000
2,6:25,1,10,DAL 31,3,0,Tony Romo pass complete short left to Kevin Ogletree for 10 yards (tackle by Josh Norman),1.000,1.660
2,5:46,1,10,DAL 41,3,0,Felix Jones left guard for 9 yards (tackle by Thomas Davis),1.660,2.340
2,5:10,2,1,,3,0,Phillip Tanner left guard for 2 yards (tackle by Luke Kuechly),2.340,2.390
2,4:33,1,10,CAR 48,3,0,Tony Romo pass incomplete deep middle intended for Miles Austin,2.390,1.850
2,4:27,2,10,CAR 48,3,0,"Tony Romo pass complete short left to Miles Austin for 15 yards (tackle by Thomas Davis). Miles Austin fumbles (forced by Thomas Davis), recovered by Luke Kuechly at CAR-26 and returned for 11 yards (tackle by Dez Bryant). Penalty on Charles Godfrey: Personal Foul, 15 yards",1.850,-0.280
2,4:14,1,10,CAR 20,3,0,Cam Newton pass complete short right to Jonathan Stewart for 9 yards (tackle by Jay Ratliff and Danny McCray),0.280,0.950
2,3:34,2,1,CAR 29,3,0,Cam Newton up the middle for 3 yards (tackle by Sean Lee),0.950,1.070
2,2:54,1,10,CAR 32,3,0,Cam Newton pass complete short left to Jonathan Stewart for 3 yards (tackle by Bruce Carter),1.070,0.930
2,2:11,2,7,CAR 35,3,0,Cam Newton right guard for 15 yards (tackle by Sean Lee),0.930,2.260
2,2:00,1,10,,3,0,Cam Newton pass complete short left to Brandon LaFell for 32 yards (tackle by Gerald Sensabaugh),2.260,4.370
2,1:51,1,10,DAL 18,3,0,Cam Newton up the middle for 2 yards (tackle by Marcus R. Spears),4.370,4.090
2,1:14,2,8,DAL 16,3,0,Cam Newton pass complete short right to Louis Murphy for 11 yards (tackle by Morris Claiborne and Danny McCray),4.090,6.060
2,0:32,1,5,DAL 5,3,0,Jonathan Stewart left end for no gain (tackle by Orlando Scandrick and Kenyon Coleman),6.060,0.000
2,0:24,,,,3,0,Timeout #1 by Carolina Panthers,0.000,5.150
2,0:24,2,5,DAL 5,3,0,Cam Newton pass incomplete short right intended for Jonathan Stewart,5.150,0.000
2,0:21,,,,3,0,Timeout #1 by Dallas Cowboys,0.000,4.260
2,0:21,3,5,DAL 5,3,6,"Cam Newton pass complete short left to Brandon LaFell for 5 yards, touchdown",4.260,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,0:21,,,DAL 2,3,7,Justin Medlock kicks extra point good,0.000,0.000
2,0:14,,,CAR 35,3,7,"Justin Medlock kicks off 65 yards, touchback",0.000,0.280
2,0:14,1,10,DAL 20,3,7,Tony Romo kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,DAL,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,3,7,"Justin Medlock kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,DAL 20,3,7,Tony Romo pass complete short middle to Felix Jones for 5 yards (tackle by James Anderson),0.280,0.410
