Unnamed: 0,ARI,SEA
First Downs,19,13
Rush-Yds-TDs,33-116-1,22-101-0
Cmp-Att-Yd-TD-INT,15-34-145-1-1,18-29-221-2-0
Sacked-Yards,1-2,3-26
Net Pass Yards,143,195
Total Yards,259,296
Fumbles-Lost,1-0,2-0
Turnovers,1,0
Penalties-Yards,4-25,8-100
Third Down Conv.,4-14,1-12
Fourth Down Conv.,0-0,1-1
Time of Possession,32:16,27:44
