Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
1,5:14,3,14,DEN 36,0,3,Drew Lock pass complete short right to Noah Fant for 3 yards (tackle by Rayshawn Jenkins),-0.160,-0.780
1,4:46,4,11,DEN 39,0,3,"Sam Martin punts 51 yards, returned by K.J. Hill for -1 yards (tackle by Davontae Harris)",-0.780,0.380
1,4:37,1,10,LAC 9,0,3,Joshua Kelley right tackle for 2 yards (tackle by DeMarcus Walker),-0.380,-0.630
1,4:01,2,8,LAC 11,0,3,Justin Herbert pass complete short left to Hunter Henry for 8 yards (tackle by DeMarcus Walker),-0.630,0.150
1,3:16,1,10,LAC 19,0,3,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by A.J. Bouye),0.150,0.480
1,2:42,2,4,LAC 25,0,3,Joshua Kelley left guard for 22 yards (tackle by Justin Simmons),0.480,2.060
1,2:02,1,10,LAC 47,0,3,Justin Herbert pass incomplete deep left intended for Keenan Allen,2.060,1.520
1,1:55,2,10,LAC 47,0,3,Justin Herbert pass incomplete short left,1.520,0.830
1,1:51,3,10,LAC 47,0,3,Justin Herbert pass complete deep middle to Mike Williams for 19 yards (tackle by A.J. Bouye),0.830,3.310
1,1:17,1,10,DEN 34,0,3,Joshua Kelley up the middle for 4 yards (tackle by Josey Jewell and Alexander Johnson),3.310,3.310
1,0:49,2,6,DEN 30,0,3,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Malik Reed),3.310,3.140
1,0:10,3,2,DEN 26,0,3,Justin Herbert right guard for 1 yard (tackle by Shelby Harris and Josey Jewell),3.140,1.950
Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,DEN 25,0,3,Joshua Kelley right guard for -1 yards (tackle by Dre'Mont Jones and Shelby Harris),1.950,-0.670
2,14:56,1,10,DEN 26,0,3,Phillip Lindsay left tackle for no gain (tackle by Kyzir White),0.670,0.130
2,14:21,2,10,DEN 26,0,3,Drew Lock pass complete short middle to Noah Fant for 4 yards (tackle by Nick Vigil),0.130,-0.030
2,13:43,3,6,DEN 30,0,3,Drew Lock pass complete short left to Jerry Jeudy for 11 yards (tackle by Michael Davis),-0.030,1.660
2,13:07,1,10,DEN 41,0,3,Drew Lock pass incomplete short left,1.660,1.120
2,13:00,2,10,DEN 41,0,3,Phillip Lindsay right tackle for -1 yards (tackle by Justin Jones),1.120,0.300
2,12:24,3,11,DEN 40,0,3,Drew Lock pass complete short left to Melvin Gordon for 4 yards (tackle by Kenneth Murray),0.300,-0.460
2,11:32,4,7,DEN 44,0,3,"Sam Martin punts 46 yards, returned by K.J. Hill for 30 yards (tackle by Trey Marshall)",-0.460,-1.600
2,11:18,1,10,LAC 40,0,3,Justin Jackson up the middle for 1 yard (tackle by Alexander Johnson and Malik Reed),1.600,1.190
2,10:46,2,9,LAC 41,0,3,Justin Herbert pass complete short right to Hunter Henry for 7 yards (tackle by Josey Jewell),1.190,1.420
2,10:05,3,2,LAC 48,0,3,Justin Herbert pass complete short right to Justin Jackson for 4 yards (tackle by Josey Jewell),1.420,2.390
2,9:31,1,10,DEN 48,0,3,Troymaine Pope left guard for 5 yards (tackle by DeShawn Williams),2.390,2.520
2,8:53,2,5,DEN 43,0,3,Justin Herbert pass incomplete short right intended for Troymaine Pope,2.520,1.820
2,8:49,3,5,DEN 43,0,3,Justin Herbert pass incomplete short middle intended for Keenan Allen,1.820,0.400
2,8:45,4,5,DEN 43,0,3,"Ty Long punts 43 yards, touchback.",0.400,-0.280
2,8:38,1,10,DEN 20,0,3,Drew Lock pass incomplete short left intended for Melvin Gordon (defended by Rayshawn Jenkins),0.280,-0.270
2,8:35,2,10,DEN 20,0,3,Drew Lock pass complete short left to Noah Fant for 12 yards (tackle by Rayshawn Jenkins),-0.270,1.070
2,8:01,,,,,,Timeout #1 by Denver Broncos,,
2,8:01,1,10,DEN 32,0,3,Drew Lock pass incomplete deep left intended for Jerry Jeudy,1.070,0.530
2,7:56,2,10,DEN 32,0,3,Drew Lock pass complete short right to DaeSean Hamilton for 12 yards (tackle by Kenneth Murray). Penalty on Garett Bolles: Offensive Holding (Offsetting) . Penalty on Joseph Jones: Illegal Use of Hands (Offsetting) (no play),0.530,0.530
2,7:32,2,10,DEN 32,0,3,Melvin Gordon left tackle for -2 yards (tackle by Justin Jones and Melvin Ingram),0.530,-0.430
2,6:51,3,12,DEN 30,0,3,Drew Lock pass complete short right to Noah Fant for 9 yards (tackle by Jahleel Addae),-0.430,-0.780
2,6:02,4,3,DEN 39,0,3,"Sam Martin punts 61 yards, touchback.",-0.780,-0.280
2,5:53,1,10,LAC 20,0,3,Justin Herbert pass complete short right to Troymaine Pope for 7 yards (tackle by Josey Jewell),0.280,0.680
2,5:15,2,3,LAC 27,0,3,Troymaine Pope up the middle for no gain (tackle by DeShawn Williams),0.680,-0.030
2,4:32,3,3,LAC 27,0,3,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by A.J. Bouye),-0.030,1.200
2,3:59,1,10,LAC 34,0,3,Justin Jackson right guard for 2 yards (tackle by Justin Simmons),1.200,0.930
2,3:24,2,8,LAC 36,0,3,Justin Herbert pass complete short left to Justin Jackson for 34 yards (tackle by Bryce Callahan),0.930,3.580
2,2:52,1,10,DEN 30,0,3,Justin Herbert pass complete short right to Keenan Allen for 22 yards (tackle by Alexander Johnson and Michael Ojemudia),3.580,5.370
2,2:04,1,8,DEN 8,0,3,Justin Herbert pass complete short middle to Joshua Kelley for -7 yards (tackle by Shelby Harris),5.370,3.460
2,2:00,2,15,DEN 15,0,3,Justin Herbert pass complete short left to Troymaine Pope for 6 yards (tackle by Kareem Jackson and Alexander Johnson),3.460,3.360
2,1:53,,,,,,Timeout #2 by Denver Broncos,,
2,1:53,3,9,DEN 9,6,3,"Justin Herbert pass complete short middle to Keenan Allen for 9 yards, touchdown",3.360,7.000
2,1:48,,,DEN 15,7,3,Michael Badgley kicks extra point good,0.000,0.000
2,1:48,,,LAC 35,7,3,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,1:48,1,10,DEN 25,7,3,Drew Lock pass complete short right to Noah Fant for 6 yards (tackle by Jahleel Addae),0.610,0.870
2,1:29,2,4,DEN 31,7,3,Drew Lock pass incomplete short right intended for Phillip Lindsay,0.870,0.170
2,1:25,3,4,DEN 31,7,3,Drew Lock pass incomplete short right intended for Jerry Jeudy (defended by Casey Hayward),0.170,-1.310
2,1:21,4,4,DEN 31,7,3,"Sam Martin punts 69 yards, touchback.",-1.310,-0.280
2,1:11,1,10,LAC 20,7,3,"Justin Herbert sacked by DeMarcus Walker for no gain. Penalty on Josey Jewell: Illegal Contact, 5 yards (no play)",0.280,0.610
2,1:08,1,10,LAC 25,7,3,Justin Jackson up the middle for 22 yards (tackle by Kareem Jackson),0.610,2.060
2,1:00,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:00,1,10,LAC 47,7,3,Troymaine Pope left tackle for 3 yards (tackle by Josey Jewell),2.060,1.920
2,0:42,2,7,LAC 50,7,3,Justin Herbert pass complete short middle to Troymaine Pope for 11 yards (tackle by Michael Ojemudia),1.920,2.980
2,0:35,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:35,1,10,DEN 39,7,3,Justin Herbert pass complete short left to Troymaine Pope for 1 yard (tackle by Alexander Johnson),2.980,2.580
2,0:31,,,,,,Timeout #3 by Denver Broncos,,
2,0:31,2,9,DEN 38,7,3,Justin Herbert pass complete deep left to Mike Williams for 36 yards (tackle by Justin Simmons),2.580,6.740
2,0:22,1,2,DEN 2,13,3,"Justin Herbert pass complete short right to Gabe Nabers for 2 yards, touchdown. Penalty on A.J. Bouye: Defensive Holding (Declined)",6.740,7.000
2,0:15,,,DEN 15,14,3,Michael Badgley kicks extra point good,0.000,0.000
2,0:15,,,LAC 35,14,3,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
2,0:15,1,10,DEN 25,14,3,Drew Lock kneels for -2 yards,0.610,-0.210
Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,14,3,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LAC 25,14,3,Justin Jackson up the middle for 4 yards (tackle by Bradley Chubb),0.610,0.600
3,14:41,2,6,LAC 29,14,3,Justin Herbert left end for 9 yards (tackle by Kareem Jackson),0.600,1.470
3,14:16,1,10,LAC 38,14,3,Justin Jackson right tackle for 6 yards (tackle by Kareem Jackson and Josey Jewell),1.470,1.730
3,13:45,2,4,LAC 44,14,3,Justin Jackson up the middle for 4 yards (tackle by Bryce Callahan),1.730,2.130
3,13:13,1,10,LAC 48,14,3,Justin Herbert pass complete short middle to Troymaine Pope for 3 yards (tackle by Alexander Johnson and Josey Jewell),2.130,1.990
3,12:33,2,7,DEN 49,14,3,Troymaine Pope up the middle for 14 yards (tackle by Kareem Jackson),1.990,3.250
3,12:03,1,10,DEN 35,14,3,Troymaine Pope right tackle for 5 yards (tackle by Anthony Chickillo),3.250,3.380
3,11:31,2,5,DEN 30,14,3,Justin Jackson up the middle for 6 yards (tackle by Kareem Jackson),3.380,3.970
3,10:56,1,10,DEN 24,14,3,Justin Jackson up the middle for no gain (tackle by Bradley Chubb),3.970,3.430
3,10:20,2,10,DEN 24,20,3,"Justin Herbert pass complete deep right to Mike Williams for 24 yards, touchdown",3.430,7.000
3,10:13,,,DEN 15,21,3,Michael Badgley kicks extra point good,0.000,0.000
3,10:13,,,LAC 35,21,3,"Ty Long kicks off 65 yards, touchback. Penalty on LAC: Illegal Formation, 5 yards",0.000,0.940
3,10:13,1,10,DEN 30,21,3,Drew Lock sacked by Jerry Tillery for -5 yards,0.940,-0.280
3,9:42,2,15,DEN 25,21,3,Drew Lock pass incomplete short right. Penalty on Demar Dotson: Offensive Holding (Declined),-0.280,-0.960
3,9:33,3,15,DEN 25,21,3,Drew Lock pass incomplete short left intended for Phillip Lindsay,-0.960,-1.700
3,9:31,4,15,DEN 25,21,3,"Sam Martin punts 58 yards, returned by K.J. Hill for 9 yards (tackle by Jeremy Cox and P.J. Locke)",-1.700,-0.670
3,9:19,1,10,LAC 26,21,3,Justin Jackson up the middle for 6 yards (tackle by Sylvester Williams),0.670,0.940
3,8:53,2,4,LAC 32,21,3,Justin Herbert pass incomplete short middle intended for Keenan Allen (defended by Sylvester Williams),0.940,0.230
3,8:50,3,4,LAC 32,21,3,Troymaine Pope up the middle for 8 yards (tackle by Duke Dawson and Dre'Mont Jones),0.230,1.600
3,8:22,1,10,LAC 40,21,3,Troymaine Pope up the middle for 26 yards (tackle by Kareem Jackson),1.600,3.310
3,7:52,1,10,DEN 34,21,3,Justin Herbert pass incomplete short left,3.310,2.770
3,7:48,2,10,DEN 34,21,3,Justin Herbert pass incomplete short right intended for Mike Williams (defended by A.J. Bouye),2.770,2.080
3,7:44,3,10,DEN 34,21,3,Justin Herbert pass incomplete deep right intended for Jalen Guyton,2.080,1.060
3,7:38,4,10,DEN 34,24,3,Michael Badgley 52 yard field goal good,1.060,3.000
3,7:33,,,LAC 35,24,3,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,7:33,1,10,DEN 25,24,3,Phillip Lindsay up the middle for 2 yards (tackle by Rayshawn Jenkins),0.610,0.330
3,6:59,2,8,DEN 27,24,3,Drew Lock pass incomplete deep right intended for Noah Fant (defended by Kyzir White),0.330,-0.360
3,6:54,3,8,DEN 27,24,3,Drew Lock pass complete short middle to DaeSean Hamilton for 18 yards (tackle by Nasir Adderley),-0.360,1.930
3,6:19,1,10,DEN 45,24,3,Drew Lock pass incomplete short left intended for Jerry Jeudy (defended by Michael Davis),1.930,1.380
3,6:15,2,10,DEN 45,24,9,"Phillip Lindsay left tackle for 55 yards, touchdown",1.380,7.000
3,6:05,,,LAC 15,24,10,Brandon McManus kicks extra point good,0.000,0.000
3,6:05,,,DEN 35,24,10,"Brandon McManus kicks off 64 yards, returned by Joe Reed for 26 yards (tackle by Jeremy Cox and Joseph Jones)",0.000,0.740
3,5:57,1,10,LAC 27,24,10,Justin Jackson right guard for 1 yard (tackle by Alexander Johnson),0.740,0.330
3,5:22,2,9,LAC 28,24,10,"Justin Herbert pass complete short middle to Keenan Allen for 5 yards (tackle by Alexander Johnson). Penalty on Bradley Chubb: Roughing the Passer, 15 yards",0.330,2.130
3,4:55,1,10,LAC 48,24,10,Keenan Allen pass incomplete short right intended for Justin Jackson,2.130,1.580
3,4:49,2,10,LAC 48,24,10,Justin Herbert pass incomplete short right intended for Troymaine Pope (defended by Alexander Johnson),1.580,0.890
3,4:45,3,10,LAC 48,24,10,Justin Herbert pass complete short right to Jalen Guyton for 3 yards (tackle by Bryce Callahan),0.890,0.000
3,4:02,4,7,DEN 49,24,10,"Ty Long punts 36 yards, fair catch by Bryce Callahan at DEN-13",0.000,0.320
3,3:54,1,10,DEN 13,24,10,Melvin Gordon right guard for 2 yards (tackle by Joey Bosa and Damion Square),-0.320,-0.570
3,3:14,2,8,DEN 15,24,10,Drew Lock pass deep right intended for Jerry Jeudy is intercepted by Rayshawn Jenkins at DEN-47 and returned for 23 yards,-0.570,-3.970
3,2:57,1,10,DEN 24,24,10,Justin Jackson right tackle for 3 yards (tackle by Shelby Harris and Justin Simmons),3.970,3.840
3,2:21,2,7,DEN 21,24,10,Justin Jackson up the middle for 2 yards (tackle by Shelby Harris),3.840,3.410
3,1:41,3,5,DEN 19,24,10,Justin Herbert pass deep right intended for Mike Williams is intercepted by Bryce Callahan at DEN-0 and returned for no gain,3.410,-0.280
3,1:36,1,10,DEN 20,24,10,Drew Lock pass complete short left to Jerry Jeudy for 15 yards (tackle by Michael Davis),0.280,1.270
3,1:02,1,10,DEN 35,24,10,"Phillip Lindsay right end for 7 yards (tackle by Nasir Adderley). Penalty on DaeSean Hamilton: Illegal Block Above the Waist, 10 yards",1.270,1.070
3,0:40,1,13,DEN 32,24,10,Drew Lock pass complete short left to Melvin Gordon for 2 yards (tackle by Kenneth Murray),1.070,0.590
3,0:10,2,11,DEN 34,24,10,"Penalty on Garett Bolles: False Start, 5 yards (no play)",0.590,-0.090
Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,16,DEN 29,24,10,Drew Lock pass incomplete short right intended for Jerry Jeudy (defended by Casey Hayward),-0.090,-0.760
4,14:54,3,16,DEN 29,24,10,Drew Lock pass complete deep middle to Jerry Jeudy for 43 yards (tackle by Nasir Adderley),-0.760,3.710
4,14:12,1,10,LAC 28,24,10,Melvin Gordon right tackle for 7 yards (tackle by Kyzir White and Nasir Adderley),3.710,4.110
4,13:33,2,3,LAC 21,24,10,Drew Lock pass complete short right to Noah Fant for 7 yards (tackle by Kyzir White and Kenneth Murray),4.110,4.650
4,12:56,1,10,LAC 14,24,10,"Phillip Lindsay up the middle for 3 yards (tackle by Michael Davis) Penalty on DEN: Illegal Shift, 5 yards (no play)",4.650,4.260
4,12:30,1,15,LAC 19,24,10,Drew Lock pass complete short middle to DaeSean Hamilton for 10 yards (tackle by Kyzir White),4.260,4.900
4,11:48,2,5,LAC 9,24,16,"Drew Lock pass complete short left to Albert Okwuegbunam for 9 yards, touchdown",4.900,7.000
4,11:42,,,LAC 15,24,17,Brandon McManus kicks extra point good,0.000,0.000
4,11:42,,,DEN 35,24,17,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
4,11:42,1,10,LAC 25,24,17,Troymaine Pope up the middle for 3 yards (tackle by Sylvester Williams),0.610,0.470
4,11:02,2,7,LAC 28,24,17,Justin Herbert pass complete short left to Mike Williams for 16 yards (tackle by A.J. Bouye and Kareem Jackson),0.470,1.860
4,10:37,1,10,LAC 44,24,17,Justin Jackson up the middle for 4 yards (tackle by Anthony Chickillo),1.860,1.860
4,10:04,2,6,LAC 48,24,17,Justin Jackson up the middle for 5 yards (tackle by Josey Jewell),1.860,1.820
4,9:44,3,1,DEN 47,24,17,"Justin Herbert up the middle for no gain (tackle by Bradley Chubb). Penalty on Bradley Chubb: Face Mask (15 Yards), 15 yards (no play)",1.820,3.450
4,9:19,1,10,DEN 32,24,17,Troymaine Pope up the middle for -4 yards (tackle by Alexander Johnson),3.450,2.360
4,8:43,2,14,DEN 36,24,17,Troymaine Pope left tackle for 7 yards (tackle by Shelby Harris and Kareem Jackson),2.360,2.610
4,8:06,3,7,DEN 29,24,17,Justin Herbert pass incomplete deep right intended for Jalen Guyton,2.610,1.500
4,8:02,4,7,DEN 29,27,17,Michael Badgley 47 yard field goal good,1.500,3.000
4,7:57,,,LAC 35,27,17,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
4,7:57,1,10,DEN 25,27,17,"Phillip Lindsay right tackle for 20 yards (tackle by Nasir Adderley). Penalty on Nasir Adderley: Unnecessary Roughness, 15 yards",0.610,2.920
4,7:37,1,10,LAC 40,27,23,"Drew Lock pass complete deep middle to DaeSean Hamilton for 40 yards, touchdown",2.920,7.000
4,7:30,,,LAC 15,27,24,Brandon McManus kicks extra point good,0.000,0.000
4,7:30,,,DEN 35,27,24,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
4,7:30,1,10,LAC 25,27,24,Justin Herbert pass complete short right to Hunter Henry for 5 yards (tackle by Essang Bassey),0.610,0.740
4,7:03,2,5,LAC 30,27,24,Justin Jackson up the middle for 3 yards (tackle by Alexander Johnson),0.740,0.430
4,6:25,3,2,LAC 33,27,24,Justin Herbert pass complete short left to Keenan Allen for 5 yards (tackle by Michael Ojemudia),0.430,1.470
4,5:47,1,10,LAC 38,27,24,Justin Herbert left end for 11 yards (tackle by Kareem Jackson),1.470,2.190
4,5:12,1,10,LAC 49,27,24,Joshua Kelley left guard for 1 yard (tackle by Kareem Jackson),2.190,1.780
4,4:28,2,9,LAC 50,27,24,Justin Herbert pass complete short left to Justin Jackson for 15 yards (tackle by Essang Bassey),1.780,3.250
4,4:18,1,10,DEN 35,27,24,Justin Jackson left end for 18 yards (tackle by Josey Jewell),3.250,4.440
4,3:35,1,10,DEN 17,27,24,"Joshua Kelley up the middle for 1 yard (tackle by Bradley Chubb). Penalty on Hunter Henry: Illegal Crackback, 15 yards",4.440,3.510
4,3:29,1,24,DEN 31,27,24,Joshua Kelley up the middle for 3 yards (tackle by DeShawn Williams),3.510,2.410
4,2:49,2,21,DEN 28,27,24,Justin Herbert sacked by Bradley Chubb for no gain,2.410,1.750
4,2:44,,,,,,Timeout #1 by Denver Broncos,,
4,2:44,3,21,DEN 28,27,24,Justin Herbert pass complete short left to Hunter Henry for 13 yards (tackle by Kareem Jackson),1.750,2.440
4,2:34,,,,,,Timeout #2 by Denver Broncos,,
4,2:34,4,8,DEN 15,30,24,Michael Badgley 33 yard field goal good,2.440,3.000
4,2:30,,,LAC 35,30,24,"Ty Long kicks off 69 yards, returned by Tyrie Cleveland for 23 yards (tackle by Nick Vigil and Joe Reed)",0.000,0.150
4,2:24,1,10,DEN 19,30,24,Drew Lock pass complete short right to Melvin Gordon for 6 yards (tackle by Rayshawn Jenkins),0.150,0.480
4,2:19,2,4,DEN 25,30,24,Melvin Gordon right tackle for 3 yards (tackle by Jahleel Addae and Jerry Tillery),0.480,0.100
4,2:00,3,1,DEN 28,30,24,Melvin Gordon up the middle for 10 yards (tackle by Nasir Adderley and Tevaughn Campbell),0.100,1.470
4,1:40,1,10,DEN 38,30,24,Drew Lock pass complete short right to Melvin Gordon for 2 yards (tackle by Rayshawn Jenkins),1.470,1.190
4,1:35,2,8,DEN 40,30,24,Drew Lock pass incomplete deep right intended for Noah Fant,1.190,0.500
4,1:30,3,8,DEN 40,30,24,"Drew Lock pass incomplete short middle intended for Albert Okwuegbunam (defended by Tevaughn Campbell). Penalty on Tevaughn Campbell: Defensive Pass Interference, 5 yards (no play)",0.500,1.930
4,1:27,1,10,DEN 45,30,24,Drew Lock pass complete short middle to KJ Hamler for 7 yards (tackle by Nasir Adderley),1.930,2.330
4,1:04,2,3,LAC 48,30,24,Drew Lock pass complete short right to DaeSean Hamilton for 14 yards (tackle by Tevaughn Campbell),2.330,3.310
4,0:38,1,10,LAC 34,30,24,Drew Lock pass complete short right to Phillip Lindsay for 3 yards,3.310,3.180
4,0:35,2,7,LAC 31,30,24,Drew Lock pass complete short right to Melvin Gordon for 2 yards (tackle by Brandon Facyson),3.180,2.740
4,0:31,3,5,LAC 29,30,24,Drew Lock pass complete short right to Melvin Gordon for 5 yards (tackle by Brandon Facyson),2.740,3.970
4,0:27,,,,,,Timeout #3 by Denver Broncos,,
4,0:27,1,10,LAC 24,30,24,Drew Lock pass complete short right to Noah Fant for 6 yards (tackle by Rayshawn Jenkins),3.970,4.290
4,0:14,2,4,LAC 18,30,24,Drew Lock spiked the ball,4.290,3.570
4,0:13,3,4,LAC 18,30,24,Drew Lock pass incomplete deep right intended for DaeSean Hamilton,3.570,2.320
4,0:07,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:07,4,4,LAC 18,30,24,"Drew Lock pass incomplete deep right intended for Albert Okwuegbunam (defended by Brandon Facyson). Penalty on Brandon Facyson: Defensive Pass Interference, 17 yards (no play)",2.320,6.970
4,0:01,1,1,LAC 1,30,30,"Drew Lock pass complete short right to KJ Hamler for 1 yard, touchdown",6.970,7.000
4,0:00,,,LAC 15,30,31,Brandon McManus kicks extra point good Penalty on LAC: Illegal Formation (Declined),0.000,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
