Quarter,Time,Tm,Detail,LAC,DEN
1.0,10:02,Broncos,Brandon McManus 35 yard field goal,0,3
2.0,1:48,Chargers,Keenan Allen 9 yard pass from Justin Herbert (Michael Badgley kick),7,3
,0:15,Chargers,Gabe Nabers 2 yard pass from Justin Herbert (Michael Badgley kick),14,3
3.0,10:13,Chargers,Mike Williams 24 yard pass from Justin Herbert (Michael Badgley kick),21,3
,7:33,Chargers,Michael Badgley 52 yard field goal,24,3
,6:05,Broncos,Phillip Lindsay 55 yard rush (Brandon McManus kick),24,10
4.0,11:42,Broncos,Albert Okwuegbunam 9 yard pass from Drew Lock (Brandon McManus kick),24,17
,7:57,Chargers,Michael Badgley 47 yard field goal,27,17
,7:30,Broncos,DaeSean Hamilton 40 yard pass from Drew Lock (Brandon McManus kick),27,24
,2:30,Chargers,Michael Badgley 33 yard field goal,30,24
,0:00,Broncos,KJ Hamler 1 yard pass from Drew Lock (Brandon McManus kick),30,31
