Unnamed: 0,CIN,NWE
First Downs,26,22
Rush-Yds-TDs,31-150-1,29-94-2
Cmp-Att-Yd-TD-INT,27-37-328-3-2,18-26-260-2-0
Sacked-Yards,0-0,1-3
Net Pass Yards,328,257
Total Yards,478,351
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,9-75,2-13
Third Down Conv.,9-13,4-10
Fourth Down Conv.,1-1,1-2
Time of Possession,33:11,26:49
