Quarter,Time,Tm,Detail,SFO,TEN
1.0,5:19,49ers,Phil Dawson 44 yard field goal,3,0
2.0,6:42,49ers,Colin Kaepernick 20 yard rush (Phil Dawson kick),10,0
,2:07,49ers,Frank Gore 1 yard rush (Phil Dawson kick),17,0
3.0,7:20,49ers,Frank Gore 1 yard rush (Phil Dawson kick),24,0
4.0,12:23,Titans,Rob Bironas 31 yard field goal,24,3
,7:07,Titans,Chris Johnson 66 yard pass from Jake Locker (Rob Bironas kick),24,10
,6:16,49ers,Kassim Osgood fumble recovery in end zone (Phil Dawson kick),31,10
,3:17,Titans,Delanie Walker 26 yard pass from Jake Locker (Rob Bironas kick),31,17
