Unnamed: 0,SFO,TEN
First Downs,19,15
Rush-Yds-TDs,41-153-3,13-70-0
Cmp-Att-Yd-TD-INT,13-21-199-0-0,25-41-326-2-1
Sacked-Yards,2-3,3-28
Net Pass Yards,196,298
Total Yards,349,368
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-42,10-100
Third Down Conv.,8-16,5-14
Fourth Down Conv.,0-0,0-0
Time of Possession,35:46,24:14
