Unnamed: 0,NOR,KAN
First Downs,22,21
Rush-Yds-TDs,28-103-2,24-124-0
Cmp-Att-Yd-TD-INT,25-36-266-1-1,19-38-235-2-1
Sacked-Yards,0-0,4-29
Net Pass Yards,266,206
Total Yards,369,330
Fumbles-Lost,1-0,2-0
Turnovers,1,1
Penalties-Yards,2-8,6-40
Third Down Conv.,6-12,5-14
Fourth Down Conv.,0-0,2-3
Time of Possession,29:36,30:24
