Unnamed: 0,NOR,CAR
First Downs,17,21
Rush-Yds-TDs,29-155-0,40-185-1
Cmp-Att-Yd-TD-INT,16-31-189-1-1,15-23-124-0-0
Sacked-Yards,0-0,0-0
Net Pass Yards,189,124
Total Yards,344,309
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,7-64,4-20
Third Down Conv.,8-15,8-14
Fourth Down Conv.,0-0,1-1
Time of Possession,26:58,33:02
