Unnamed: 0,BUF,BAL
First Downs,27,21
Rush-Yds-TDs,35-132-0,29-135-1
Cmp-Att-Yd-TD-INT,29-43-382-4-2,16-31-250-3-0
Sacked-Yards,1-0,2-21
Net Pass Yards,382,229
Total Yards,514,364
Fumbles-Lost,3-2,2-2
Turnovers,4,2
Penalties-Yards,6-78,4-18
Third Down Conv.,11-17,2-11
Fourth Down Conv.,1-2,1-1
Time of Possession,38:36,25:30
