Quarter,Time,Tm,Detail,NYJ,DEN
1.0,7:34,Jets,Breece Hall 62 yard rush (Greg Zuerlein kick),7,0
,1:33,Broncos,Latavius Murray 2 yard rush (Brandon McManus kick failed),7,6
2.0,3:37,Broncos,Brandon McManus 44 yard field goal,7,9
,0:00,Jets,Greg Zuerlein 45 yard field goal,10,9
4.0,12:49,Jets,Greg Zuerlein 33 yard field goal,13,9
,4:35,Jets,Greg Zuerlein 40 yard field goal,16,9
