Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Isiah Pacheco,KAN,15,97,1,5,38,2.5,59,3.9,2,7.5
Patrick Mahomes,KAN,6,19,0,1,18,3.0,1,0.2,0,
Clyde Edwards-Helaire,KAN,2,31,0,1,8,4.0,23,11.5,0,
Mecole Hardman,KAN,1,-1,0,,-1,-1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Cook,BUF,18,61,0,5,22,1.2,39,2.2,1,18.0
Josh Allen,BUF,12,72,2,5,37,3.1,35,2.9,0,
Ty Johnson,BUF,7,40,0,3,15,2.1,25,3.6,1,7.0
Stefon Diggs,BUF,1,7,0,1,4,4.0,3,3.0,0,
Damar Hamlin,BUF,1,2,0,,1,1.0,1,1.0,0,
