Quarter,Time,Tm,Detail,KAN,BUF
1.0,8:08,Bills,Tyler Bass 27 yard field goal,0,3
,4:35,Chiefs,Harrison Butker 47 yard field goal,3,3
2.0,13:32,Bills,Josh Allen 5 yard rush (Tyler Bass kick),3,10
,9:12,Chiefs,Harrison Butker 29 yard field goal,6,10
,3:33,Chiefs,Travis Kelce 22 yard pass from Patrick Mahomes (Harrison Butker kick),13,10
,0:26,Bills,Josh Allen 2 yard rush (Tyler Bass kick),13,17
3.0,11:48,Chiefs,Travis Kelce 3 yard pass from Patrick Mahomes (Harrison Butker kick),20,17
,3:23,Bills,Khalil Shakir 13 yard pass from Josh Allen (Tyler Bass kick),20,24
4.0,14:20,Chiefs,Isiah Pacheco 4 yard rush (Harrison Butker kick),27,24
