Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
1,2:08,2,1,KAN 40,3,3,Ty Johnson for 2 yards (tackle by Drue Tranquill),3.000,3.050
1,1:30,1,10,KAN 38,3,3,James Cook right guard for 6 yards (tackle by Chamarri Conner),3.050,3.320
1,0:47,2,4,KAN 32,3,3,James Cook right end for 7 yards (tackle by Chamarri Conner),3.320,3.910
1,0:06,1,10,KAN 25,3,3,Josh Allen scrambles up the middle for 8 yards (tackle by Chris Jones),3.910,4.550
Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,KAN 17,3,3,James Cook right guard for 5 yards (tackle by L'Jarius Sneed and George Karlaftis),4.550,4.780
2,14:20,1,10,KAN 12,3,3,James Cook left end for 7 yards (tackle by Chris Jones and Nick Bolton),4.780,5.410
2,13:37,2,3,KAN 5,3,9,"Josh Allen left end for 5 yards, touchdown",5.410,7.000
2,13:32,,,KAN 15,3,10,Tyler Bass kicks extra point good,0.000,0.000
2,13:32,,,BUF 35,3,10,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
2,13:32,1,10,KAN 25,3,10,Isiah Pacheco right end for 9 yards (tackle by A.J. Klein),0.610,1.280
2,12:56,2,1,KAN 34,3,10,Isiah Pacheco right tackle for 10 yards (tackle by Jordan Poyer),1.280,1.860
2,12:30,1,10,KAN 44,3,10,Patrick Mahomes pass complete deep right to Travis Kelce for 29 yards (tackle by Micah Hyde),1.860,3.780
2,11:45,1,10,BUF 27,3,10,"Patrick Mahomes pass incomplete deep left intended for Noah Gray. Penalty on Rasul Douglas: Defensive Holding, 5 yards (accepted) (no play)",3.780,4.110
2,11:40,1,10,BUF 22,3,10,Patrick Mahomes pass incomplete short left,4.110,3.560
2,11:34,2,10,BUF 22,3,10,Patrick Mahomes pass complete short right to Noah Gray for 4 yards (tackle by Rasul Douglas and Dorian Williams),3.560,3.400
2,10:51,3,6,BUF 18,3,10,Patrick Mahomes pass complete short left to Rashee Rice for 8 yards (tackle by Taron Johnson and Cameron Lewis),3.400,4.910
2,10:10,1,10,BUF 10,3,10,Patrick Mahomes pass incomplete short left intended for Travis Kelce,4.910,4.190
2,10:05,2,10,BUF 10,3,10,"Mecole Hardman left end for -1 yards. Mecole Hardman fumbles (forced by Rasul Douglas), recovered by Justin Watson at BUF-11",4.190,3.120
2,9:20,3,11,BUF 11,3,10,Patrick Mahomes pass incomplete short right intended for Marquez Valdes-Scantling,3.120,2.700
2,9:15,4,11,BUF 11,6,10,Harrison Butker 29 yard field goal good,2.700,3.000
2,9:12,,,KAN 35,6,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,9:12,1,10,BUF 25,6,10,Ty Johnson right end for 2 yards (tackle by Nick Bolton),0.610,0.330
2,8:39,2,8,BUF 27,6,10,Josh Allen pass complete short right to James Cook for 8 yards (tackle by Nick Bolton),0.330,1.270
2,7:35,1,10,BUF 35,6,10,James Cook left end for 2 yards (tackle by Chamarri Conner),1.270,0.990
2,7:05,2,8,BUF 37,6,10,Josh Allen pass incomplete deep left intended for Trent Sherfield (defended by Jaylen Watson),0.990,0.300
2,7:00,3,8,BUF 37,6,10,Josh Allen pass complete short right to Khalil Shakir for 3 yards (tackle by Chamarri Conner),0.300,-0.720
2,6:17,4,5,BUF 40,6,10,"Sam Martin punts 40 yards, returned by Richie James for 15 yards (tackle by Damar Hamlin)",-0.720,-1.270
2,6:07,1,10,KAN 35,6,10,Patrick Mahomes pass complete short middle to Noah Gray for 12 yards (tackle by Tyrel Dodson),1.270,2.060
2,5:37,1,10,KAN 47,6,10,Isiah Pacheco left guard for 3 yards (tackle by A.J. Klein and Linval Joseph),2.060,1.920
2,4:59,2,7,BUF 50,6,10,Clyde Edwards-Helaire right tackle for 28 yards (tackle by Taron Johnson),1.920,4.110
2,4:18,1,10,BUF 22,6,10,Patrick Mahomes pass complete short right to Noah Gray for no gain,4.110,3.560
2,3:38,2,10,BUF 22,12,10,"Patrick Mahomes pass complete deep left to Travis Kelce for 22 yards, touchdown",3.560,7.000
2,3:33,,,BUF 15,13,10,Harrison Butker kicks extra point good,0.000,0.000
2,3:33,,,KAN 35,13,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,3:33,1,10,BUF 25,13,10,Josh Allen pass complete short left to James Cook for 8 yards (tackle by Leo Chenal and Nick Bolton),0.610,1.140
2,2:51,2,2,BUF 33,13,10,James Cook right guard for 2 yards (tackle by Chamarri Conner),1.140,1.270
2,2:20,1,10,BUF 35,13,10,James Cook left end for -1 yards (tackle by George Karlaftis),1.270,0.590
2,2:00,2,11,BUF 34,13,10,Josh Allen pass complete short middle to Stefon Diggs for 15 yards (tackle by Chamarri Conner),0.590,2.190
2,1:29,1,10,BUF 49,13,10,Josh Allen pass complete short left to Latavius Murray for 6 yards (tackle by Justin Reid),2.190,2.460
2,1:09,2,4,KAN 45,13,10,Josh Allen pass complete short left to Latavius Murray for 15 yards (tackle by L'Jarius Sneed),2.460,3.580
2,1:00,1,10,KAN 30,13,10,Josh Allen pass incomplete short right intended for Khalil Shakir,3.580,3.030
2,0:55,2,10,KAN 30,13,10,Josh Allen scrambles left tackle for 18 yards (tackle by Justin Reid),3.030,4.780
2,0:44,,,,,,Timeout #1 by Buffalo Bills,,
2,0:44,1,10,KAN 12,13,10,Josh Allen up the middle for 5 yards (tackle by Drue Tranquill),4.780,5.020
2,0:39,,,,,,Timeout #1 by Kansas City Chiefs,,
2,0:39,2,5,KAN 7,13,10,Josh Allen pass incomplete short left intended for James Cook,5.020,4.160
2,0:35,3,5,KAN 7,13,10,Josh Allen pass complete short right to Khalil Shakir for 5 yards (tackle by Trent McDuffie),4.160,6.740
2,0:30,,,,,,Timeout #2 by Kansas City Chiefs,,
2,0:30,1,2,KAN 2,13,16,"Josh Allen up the middle for 2 yards, touchdown",6.740,7.000
2,0:26,,,KAN 15,13,17,Tyler Bass kicks extra point good,0.000,0.000
2,0:26,,,BUF 35,13,17,"Tyler Bass kicks off 53 yards, returned by Richie James for 23 yards (tackle by Damar Hamlin)",0.000,1.330
2,0:18,1,10,KAN 36,13,17,"Patrick Mahomes pass complete to Isiah Pacheco for no gain. Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) . Penalty on Jawaan Taylor: Illegal Use of Hands / Offense, 5 yards (declined) (no play)",1.330,0.610
2,0:15,1,20,KAN 25,13,17,Patrick Mahomes kneels for -3 yards,0.610,-1.030
Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,13,17,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,KAN 25,13,17,Patrick Mahomes pass complete deep right to Marquez Valdes-Scantling for 30 yards (tackle by Taron Johnson),0.610,2.590
3,14:34,1,10,BUF 45,13,17,Isiah Pacheco left end for 3 yards (tackle by DaQuan Jones and A.J. Klein),2.590,2.450
3,13:54,2,7,BUF 42,13,17,Patrick Mahomes scrambles left end for 24 yards (tackle by Jordan Poyer),2.450,4.370
3,13:12,1,10,BUF 18,13,17,Isiah Pacheco up the middle for 1 yard (tackle by Von Miller),4.370,3.940
3,12:37,2,9,BUF 17,13,17,Patrick Mahomes pass complete short middle to Isiah Pacheco for 14 yards (tackle by Tyrel Dodson),3.940,6.510
3,11:55,1,3,BUF 3,19,17,"Patrick Mahomes pass complete short left to Travis Kelce for 3 yards, touchdown",6.510,7.000
3,11:48,,,BUF 15,20,17,Harrison Butker kicks extra point good,0.000,0.000
3,11:48,,,KAN 35,20,17,"Harrison Butker kicks off 63 yards,",0.000,0.610
3,11:48,1,10,BUF 25,20,17,Josh Allen pass complete short left to Deonte Harty for 3 yards (tackle by Drue Tranquill),0.610,0.470
3,11:16,2,7,BUF 28,20,17,James Cook right guard for 6 yards (tackle by Leo Chenal),0.470,0.560
3,10:36,3,1,BUF 34,20,17,Ty Johnson left tackle for 1 yard (tackle by Joshua Williams and Nick Bolton),0.560,1.270
3,9:51,1,10,BUF 35,20,17,Josh Allen pass complete short left to James Cook for 7 yards (tackle by Leo Chenal),1.270,1.670
3,9:19,2,3,BUF 42,20,17,James Cook right guard for 7 yards (tackle by Matt Dickerson),1.670,2.190
3,8:40,1,10,BUF 49,20,17,Ty Johnson left tackle for 1 yard (tackle by Mike Pennel and Nick Bolton),2.190,1.780
3,8:00,2,9,BUF 50,20,17,"Josh Allen pass complete short right to Stefon Diggs for 3 yards (tackle by Joshua Williams). Penalty on Trent McDuffie: Illegal Use of Hands / Defense, 5 yards (accepted)",1.780,2.790
3,7:46,1,10,KAN 42,20,17,James Cook left guard for 8 yards (tackle by Chamarri Conner and Trent McDuffie),2.790,3.320
3,7:12,2,2,KAN 34,20,17,James Cook left guard for 5 yards (tackle by Tershawn Wharton and Malik Herring),3.320,3.640
3,6:31,1,10,KAN 29,20,17,Josh Allen scrambles right end for 3 yards (tackle by Michael Danna),3.640,3.510
3,5:46,2,7,KAN 26,20,17,Josh Allen pass complete short left to Khalil Shakir for 5 yards (tackle by Chamarri Conner),3.510,3.470
3,4:58,3,2,KAN 21,20,17,Ty Johnson up the middle for 15 yards (tackle by Jaylen Watson),3.470,5.830
3,4:26,1,6,KAN 6,20,17,Ty Johnson up the middle for -2 yards (tackle by Justin Reid and George Karlaftis),5.830,4.570
3,3:37,,,,,,Timeout #1 by Buffalo Bills,,
3,3:37,2,8,KAN 8,20,17,Josh Allen pass incomplete short right,4.570,3.580
3,3:29,3,8,KAN 8,20,17,"Penalty on BUF: Delay of Game, 5 yards (accepted) (no play)",3.580,3.060
3,3:29,3,13,KAN 13,20,23,"Josh Allen pass complete short left to Khalil Shakir for 13 yards, touchdown",3.060,7.000
3,3:23,,,KAN 15,20,24,Tyler Bass kicks extra point good,0.000,0.000
3,3:23,,,BUF 35,20,24,"Tyler Bass kicks off 65 yards, touchback.",0.000,0.610
3,3:23,1,10,KAN 25,20,24,Isiah Pacheco right tackle for 6 yards (tackle by Ed Oliver and Taron Johnson),0.610,0.870
3,2:52,2,4,KAN 31,20,24,Patrick Mahomes pass complete short right to Travis Kelce for 6 yards (tackle by Jordan Poyer),0.870,1.400
3,2:19,1,10,KAN 37,20,24,Isiah Pacheco right tackle for 12 yards (tackle by Jordan Poyer),1.400,2.190
3,1:41,1,10,KAN 49,20,24,Clyde Edwards-Helaire right tackle for 3 yards (tackle by Tyrel Dodson),2.190,2.050
3,1:04,2,7,BUF 48,20,24,Patrick Mahomes pass complete deep middle to Marquez Valdes-Scantling for 32 yards (tackle by Micah Hyde),2.050,4.510
3,0:24,1,10,BUF 16,20,24,Isiah Pacheco left guard for 4 yards (tackle by Tyrel Dodson),4.510,4.570
Quarter,Time,Down,ToGo,Location,KAN,BUF,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,BUF 12,20,24,Patrick Mahomes pass complete short right to Rashee Rice for 8 yards (tackle by Micah Hyde),4.570,6.280
4,14:24,1,4,BUF 4,26,24,"Isiah Pacheco left guard for 4 yards, touchdown",6.280,7.000
4,14:20,,,BUF 15,27,24,Harrison Butker kicks extra point good,0.000,0.000
4,14:20,,,KAN 35,27,24,"Penalty on Tim Settle: Encroachment, 5 yards (accepted) (no play)",0.000,0.000
4,14:20,,,KAN 40,27,24,"Harrison Butker kicks off 60 yards, touchback.",0.000,0.610
4,14:20,1,10,BUF 25,27,24,Josh Allen left end for 8 yards (tackle by Justin Reid),0.610,1.140
4,13:40,2,2,BUF 33,27,24,James Cook left guard for -3 yards (tackle by Drue Tranquill),1.140,0.040
4,13:02,3,5,BUF 30,27,24,Josh Allen pass incomplete short left intended for Stefon Diggs (defended by George Karlaftis),0.040,-1.370
4,12:57,4,5,BUF 30,27,24,Damar Hamlin left tackle for 2 yards (tackle by Leo Chenal and Cole Christiansen),-1.370,-3.450
4,12:53,1,10,BUF 32,27,24,Isiah Pacheco left end for 29 yards (tackle by Jordan Poyer),3.450,6.510
4,12:13,1,3,BUF 3,27,24,"Patrick Mahomes pass complete short left to Mecole Hardman for 2 yards (tackle by Tyrel Dodson) BUF challenged the runner was down by contact ruling, and the original play was overturned. Patrick Mahomes pass complete short left to Mecole Hardman for 2 yards. Mecole Hardman fumbles, ball out of bounds in end zone (forced by Jordan Poyer) (tackle by Tyrel Dodson). Mecole Hardman fumbles out of bounds",6.510,-0.280
4,12:09,1,10,BUF 20,27,24,James Cook up the middle for -4 yards (tackle by Trent McDuffie),0.280,-0.940
4,11:37,2,14,BUF 16,27,24,Josh Allen pass complete short right to Khalil Shakir for 2 yards (tackle by Drue Tranquill and Justin Reid),-0.940,-1.330
4,10:59,3,12,BUF 18,27,24,Josh Allen pass incomplete deep left intended for Trent Sherfield,-1.330,-2.240
4,10:52,4,12,BUF 18,27,24,Sam Martin punts 39 yards out of bounds,-2.240,-1.800
4,10:45,1,10,KAN 43,27,24,Patrick Mahomes pass complete short right to Rashee Rice for 6 yards (tackle by Jordan Poyer and Von Miller),1.800,2.060
4,10:10,2,4,KAN 49,27,24,Isiah Pacheco left end for -2 yards (tackle by A.J. Epenesa and Tyrel Dodson),2.060,1.090
4,9:26,3,6,KAN 47,27,24,"Patrick Mahomes pass incomplete short right intended for Rashee Rice. Penalty on Dorian Williams: Defensive Pass Interference, 3 yards (accepted) (no play)",1.090,2.260
4,9:26,,,,,,Timeout #1 by Kansas City Chiefs,,
4,9:26,1,10,BUF 50,27,24,Patrick Mahomes pass incomplete short right,2.260,1.710
4,9:20,2,10,BUF 50,27,24,Patrick Mahomes pass incomplete short left intended for Marquez Valdes-Scantling,1.710,1.030
4,9:17,3,10,BUF 50,27,24,Patrick Mahomes scrambles right end for 1 yard (tackle by Dorian Williams),1.030,0.000
4,8:35,4,9,BUF 49,27,24,"Tommy Townsend punts 49 yards, touchback.",0.000,-0.280
4,8:23,1,10,BUF 20,27,24,Josh Allen pass incomplete deep right intended for Stefon Diggs,0.280,-0.270
4,8:16,2,10,BUF 20,27,24,Josh Allen pass complete short right to Dalton Kincaid for 7 yards (tackle by Jaylen Watson),-0.270,-0.030
4,7:34,3,3,BUF 27,27,24,Josh Allen pass complete short left to Dawson Knox for 4 yards (tackle by L'Jarius Sneed),-0.030,1.000
4,7:15,1,10,BUF 31,27,24,Josh Allen pass complete short right to Dalton Kincaid for 8 yards (tackle by Nick Bolton),1.000,1.540
4,6:36,2,2,BUF 39,27,24,Josh Allen left tackle for 4 yards (tackle by Chamarri Conner and Charles Omenihu),1.540,1.800
4,5:54,1,10,BUF 43,27,24,Josh Allen pass incomplete short left intended for Stefon Diggs,1.800,1.250
4,5:47,2,10,BUF 43,27,24,Josh Allen pass incomplete short right intended for Stefon Diggs,1.250,0.560
4,5:44,3,10,BUF 43,27,24,"Josh Allen up the middle for 6 yards. Josh Allen fumbles (forced by Chris Jones) (tackle by Justin Reid), recovered by Spencer Brown at 50 (tackle by Justin Reid) (tackle by Justin Reid) (tackle by Chris Jones) (tackle by Chris Jones)",0.560,-0.060
4,4:51,4,3,BUF 50,27,24,Josh Allen pass complete short left to Khalil Shakir for 10 yards (tackle by Justin Reid),-0.060,2.920
4,4:46,1,10,KAN 40,27,24,Josh Allen pass complete short right to Dalton Kincaid for 6 yards (tackle by Malik Herring and Nick Bolton),2.920,3.180
4,4:08,2,4,KAN 34,27,24,James Cook up the middle for no gain (tackle by Drue Tranquill and Nick Bolton),3.180,2.480
4,3:22,3,4,KAN 34,27,24,Josh Allen pass complete short left to Trent Sherfield for 7 yards (tackle by Justin Reid),2.480,3.780
4,2:46,1,10,KAN 27,27,24,James Cook right guard for 1 yard (tackle by Drue Tranquill and Mike Pennel),3.780,3.370
4,2:00,2,9,KAN 26,27,24,Josh Allen pass incomplete deep middle intended for Khalil Shakir,3.370,2.680
4,1:55,3,9,KAN 26,27,24,Josh Allen pass incomplete deep right,2.680,1.740
4,1:47,4,9,KAN 26,27,24,Tyler Bass 44 yard field goal no good,1.740,-1.200
4,1:43,1,10,KAN 34,27,24,Isiah Pacheco right guard for 8 yards (tackle by Tyrel Dodson),1.200,1.740
4,1:37,,,,,,Timeout #2 by Buffalo Bills,,
4,1:37,2,2,KAN 42,27,24,Isiah Pacheco right guard for 3 yards (tackle by Micah Hyde),1.740,1.930
4,1:28,,,,,,Timeout #3 by Buffalo Bills,,
4,1:28,1,10,KAN 45,27,24,Patrick Mahomes kneels for -1 yards,1.930,1.250
4,0:49,2,11,KAN 44,27,24,Patrick Mahomes kneels for -1 yards,1.250,0.430
4,0:23,3,12,KAN 43,27,24,Patrick Mahomes kneels for -1 yards,0.430,-0.590
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
